Region,Country,State,City,Month,Day,Year,AvgTemperature
Europe,Greece,,Athens,1,1,1995,63.6
Europe,Greece,,Athens,1,2,1995,63.6
Europe,Greece,,Athens,1,3,1995,54.5
Europe,Greece,,Athens,1,4,1995,50.9
Europe,Greece,,Athens,1,5,1995,52.2
Europe,Greece,,Athens,1,6,1995,54.5
Europe,Greece,,Athens,1,7,1995,52.1
Europe,Greece,,Athens,1,8,1995,52.2
Europe,Greece,,Athens,1,9,1995,51.8
Europe,Greece,,Athens,1,10,1995,48.4
Europe,Greece,,Athens,1,11,1995,50.5
Europe,Greece,,Athens,1,12,1995,55.3
Europe,Greece,,Athens,1,13,1995,47.5
Europe,Greece,,Athens,1,14,1995,44.5
Europe,Greece,,Athens,1,15,1995,42.6
Europe,Greece,,Athens,1,16,1995,41.5
Europe,Greece,,Athens,1,17,1995,40.5
Europe,Greece,,Athens,1,18,1995,42.6
Europe,Greece,,Athens,1,19,1995,49.3
Europe,Greece,,Athens,1,20,1995,50.4
Europe,Greece,,Athens,1,21,1995,45.0
Europe,Greece,,Athens,1,22,1995,45.5
Europe,Greece,,Athens,1,23,1995,50.9
Europe,Greece,,Athens,1,24,1995,56.4
Europe,Greece,,Athens,1,25,1995,55.8
Europe,Greece,,Athens,1,26,1995,54.7
Europe,Greece,,Athens,1,27,1995,56.8
Europe,Greece,,Athens,1,28,1995,51.6
Europe,Greece,,Athens,1,29,1995,49.8
Europe,Greece,,Athens,1,30,1995,53.1
Europe,Greece,,Athens,1,31,1995,56.2
Europe,Greece,,Athens,2,1,1995,56.8
Europe,Greece,,Athens,2,2,1995,52.2
Europe,Greece,,Athens,2,3,1995,52.3
Europe,Greece,,Athens,2,4,1995,45.5
Europe,Greece,,Athens,2,5,1995,43.5
Europe,Greece,,Athens,2,6,1995,43.2
Europe,Greece,,Athens,2,7,1995,45.7
Europe,Greece,,Athens,2,8,1995,50.3
Europe,Greece,,Athens,2,9,1995,54.8
Europe,Greece,,Athens,2,10,1995,56.9
Europe,Greece,,Athens,2,11,1995,55.2
Europe,Greece,,Athens,2,12,1995,54.1
Europe,Greece,,Athens,2,13,1995,54.5
Europe,Greece,,Athens,2,14,1995,52.4
Europe,Greece,,Athens,2,15,1995,53.0
Europe,Greece,,Athens,2,16,1995,52.4
Europe,Greece,,Athens,2,17,1995,55.1
Europe,Greece,,Athens,2,18,1995,57.2
Europe,Greece,,Athens,2,19,1995,56.4
Europe,Greece,,Athens,2,20,1995,51.2
Europe,Greece,,Athens,2,21,1995,50.8
Europe,Greece,,Athens,2,22,1995,52.8
Europe,Greece,,Athens,2,23,1995,54.6
Europe,Greece,,Athens,2,24,1995,55.2
Europe,Greece,,Athens,2,25,1995,57.3
Europe,Greece,,Athens,2,26,1995,58.8
Europe,Greece,,Athens,2,27,1995,59.1
Europe,Greece,,Athens,2,28,1995,60.9
Europe,Greece,,Athens,3,1,1995,57.2
Europe,Greece,,Athens,3,2,1995,54.7
Europe,Greece,,Athens,3,3,1995,59.1
Europe,Greece,,Athens,3,4,1995,57.5
Europe,Greece,,Athens,3,5,1995,58.2
Europe,Greece,,Athens,3,6,1995,54.6
Europe,Greece,,Athens,3,7,1995,53.1
Europe,Greece,,Athens,3,8,1995,54.9
Europe,Greece,,Athens,3,9,1995,52.9
Europe,Greece,,Athens,3,10,1995,54.5
Europe,Greece,,Athens,3,11,1995,52.3
Europe,Greece,,Athens,3,12,1995,52.4
Europe,Greece,,Athens,3,13,1995,50.0
Europe,Greece,,Athens,3,14,1995,47.8
Europe,Greece,,Athens,3,15,1995,49.6
Europe,Greece,,Athens,3,16,1995,52.2
Europe,Greece,,Athens,3,17,1995,53.5
Europe,Greece,,Athens,3,18,1995,57.2
Europe,Greece,,Athens,3,19,1995,56.4
Europe,Greece,,Athens,3,20,1995,58.9
Europe,Greece,,Athens,3,21,1995,58.3
Europe,Greece,,Athens,3,22,1995,49.3
Europe,Greece,,Athens,3,23,1995,46.0
Europe,Greece,,Athens,3,24,1995,43.7
Europe,Greece,,Athens,3,25,1995,49.8
Europe,Greece,,Athens,3,26,1995,57.5
Europe,Greece,,Athens,3,27,1995,60.5
Europe,Greece,,Athens,3,28,1995,61.9
Europe,Greece,,Athens,3,29,1995,54.6
Europe,Greece,,Athens,3,30,1995,56.7
Europe,Greece,,Athens,3,31,1995,53.3
Europe,Greece,,Athens,4,1,1995,46.3
Europe,Greece,,Athens,4,2,1995,50.4
Europe,Greece,,Athens,4,3,1995,56.4
Europe,Greece,,Athens,4,4,1995,60.0
Europe,Greece,,Athens,4,5,1995,60.3
Europe,Greece,,Athens,4,6,1995,58.2
Europe,Greece,,Athens,4,7,1995,59.0
Europe,Greece,,Athens,4,8,1995,60.0
Europe,Greece,,Athens,4,9,1995,56.9
Europe,Greece,,Athens,4,10,1995,51.0
Europe,Greece,,Athens,4,11,1995,53.8
Europe,Greece,,Athens,4,12,1995,54.1
Europe,Greece,,Athens,4,13,1995,55.0
Europe,Greece,,Athens,4,14,1995,56.0
Europe,Greece,,Athens,4,15,1995,57.5
Europe,Greece,,Athens,4,16,1995,53.4
Europe,Greece,,Athens,4,17,1995,58.7
Europe,Greece,,Athens,4,18,1995,59.5
Europe,Greece,,Athens,4,19,1995,58.6
Europe,Greece,,Athens,4,20,1995,58.2
Europe,Greece,,Athens,4,21,1995,60.5
Europe,Greece,,Athens,4,22,1995,62.5
Europe,Greece,,Athens,4,23,1995,65.2
Europe,Greece,,Athens,4,24,1995,65.6
Europe,Greece,,Athens,4,25,1995,64.6
Europe,Greece,,Athens,4,26,1995,66.0
Europe,Greece,,Athens,4,27,1995,63.5
Europe,Greece,,Athens,4,28,1995,64.4
Europe,Greece,,Athens,4,29,1995,64.5
Europe,Greece,,Athens,4,30,1995,66.7
Europe,Greece,,Athens,5,1,1995,65.8
Europe,Greece,,Athens,5,2,1995,63.3
Europe,Greece,,Athens,5,3,1995,62.3
Europe,Greece,,Athens,5,4,1995,58.2
Europe,Greece,,Athens,5,5,1995,59.1
Europe,Greece,,Athens,5,6,1995,57.7
Europe,Greece,,Athens,5,7,1995,60.8
Europe,Greece,,Athens,5,8,1995,68.0
Europe,Greece,,Athens,5,9,1995,68.9
Europe,Greece,,Athens,5,10,1995,68.6
Europe,Greece,,Athens,5,11,1995,67.1
Europe,Greece,,Athens,5,12,1995,71.2
Europe,Greece,,Athens,5,13,1995,70.8
Europe,Greece,,Athens,5,14,1995,67.8
Europe,Greece,,Athens,5,15,1995,65.6
Europe,Greece,,Athens,5,16,1995,65.4
Europe,Greece,,Athens,5,17,1995,65.0
Europe,Greece,,Athens,5,18,1995,65.6
Europe,Greece,,Athens,5,19,1995,66.3
Europe,Greece,,Athens,5,20,1995,68.3
Europe,Greece,,Athens,5,21,1995,67.9
Europe,Greece,,Athens,5,22,1995,69.4
Europe,Greece,,Athens,5,23,1995,70.0
Europe,Greece,,Athens,5,24,1995,68.7
Europe,Greece,,Athens,5,25,1995,71.7
Europe,Greece,,Athens,5,26,1995,77.0
Europe,Greece,,Athens,5,27,1995,79.3
Europe,Greece,,Athens,5,28,1995,80.8
Europe,Greece,,Athens,5,29,1995,79.1
Europe,Greece,,Athens,5,30,1995,75.9
Europe,Greece,,Athens,5,31,1995,75.2
Europe,Greece,,Athens,6,1,1995,76.5
Europe,Greece,,Athens,6,2,1995,77.5
Europe,Greece,,Athens,6,3,1995,74.6
Europe,Greece,,Athens,6,4,1995,75.4
Europe,Greece,,Athens,6,5,1995,74.8
Europe,Greece,,Athens,6,6,1995,75.8
Europe,Greece,,Athens,6,7,1995,76.2
Europe,Greece,,Athens,6,8,1995,78.0
Europe,Greece,,Athens,6,9,1995,75.1
Europe,Greece,,Athens,6,10,1995,74.4
Europe,Greece,,Athens,6,11,1995,75.3
Europe,Greece,,Athens,6,12,1995,77.1
Europe,Greece,,Athens,6,13,1995,77.8
Europe,Greece,,Athens,6,14,1995,81.3
Europe,Greece,,Athens,6,15,1995,82.5
Europe,Greece,,Athens,6,16,1995,81.5
Europe,Greece,,Athens,6,17,1995,80.1
Europe,Greece,,Athens,6,18,1995,80.4
Europe,Greece,,Athens,6,19,1995,79.5
Europe,Greece,,Athens,6,20,1995,79.9
Europe,Greece,,Athens,6,21,1995,79.1
Europe,Greece,,Athens,6,22,1995,78.9
Europe,Greece,,Athens,6,23,1995,79.5
Europe,Greece,,Athens,6,24,1995,80.9
Europe,Greece,,Athens,6,25,1995,83.5
Europe,Greece,,Athens,6,26,1995,86.3
Europe,Greece,,Athens,6,27,1995,82.4
Europe,Greece,,Athens,6,28,1995,80.0
Europe,Greece,,Athens,6,29,1995,80.9
Europe,Greece,,Athens,6,30,1995,79.7
Europe,Greece,,Athens,7,1,1995,76.4
Europe,Greece,,Athens,7,2,1995,81.6
Europe,Greece,,Athens,7,3,1995,83.8
Europe,Greece,,Athens,7,4,1995,79.9
Europe,Greece,,Athens,7,5,1995,84.5
Europe,Greece,,Athens,7,6,1995,84.1
Europe,Greece,,Athens,7,7,1995,82.2
Europe,Greece,,Athens,7,8,1995,81.0
Europe,Greece,,Athens,7,9,1995,79.5
Europe,Greece,,Athens,7,10,1995,77.3
Europe,Greece,,Athens,7,11,1995,83.5
Europe,Greece,,Athens,7,12,1995,80.3
Europe,Greece,,Athens,7,13,1995,82.1
Europe,Greece,,Athens,7,14,1995,82.4
Europe,Greece,,Athens,7,15,1995,81.5
Europe,Greece,,Athens,7,16,1995,82.0
Europe,Greece,,Athens,7,17,1995,81.5
Europe,Greece,,Athens,7,18,1995,84.9
Europe,Greece,,Athens,7,19,1995,84.7
Europe,Greece,,Athens,7,20,1995,83.6
Europe,Greece,,Athens,7,21,1995,83.7
Europe,Greece,,Athens,7,22,1995,81.5
Europe,Greece,,Athens,7,23,1995,82.4
Europe,Greece,,Athens,7,24,1995,83.7
Europe,Greece,,Athens,7,25,1995,86.5
Europe,Greece,,Athens,7,26,1995,87.7
Europe,Greece,,Athens,7,27,1995,87.4
Europe,Greece,,Athens,7,28,1995,85.8
Europe,Greece,,Athens,7,29,1995,84.9
Europe,Greece,,Athens,7,30,1995,81.6
Europe,Greece,,Athens,7,31,1995,81.6
Europe,Greece,,Athens,8,1,1995,79.5
Europe,Greece,,Athens,8,2,1995,80.8
Europe,Greece,,Athens,8,3,1995,80.2
Europe,Greece,,Athens,8,4,1995,79.9
Europe,Greece,,Athens,8,5,1995,81.4
Europe,Greece,,Athens,8,6,1995,83.5
Europe,Greece,,Athens,8,7,1995,83.0
Europe,Greece,,Athens,8,8,1995,83.1
Europe,Greece,,Athens,8,9,1995,85.4
Europe,Greece,,Athens,8,10,1995,86.4
Europe,Greece,,Athens,8,11,1995,83.0
Europe,Greece,,Athens,8,12,1995,81.8
Europe,Greece,,Athens,8,13,1995,79.2
Europe,Greece,,Athens,8,14,1995,78.9
Europe,Greece,,Athens,8,15,1995,78.5
Europe,Greece,,Athens,8,16,1995,79.9
Europe,Greece,,Athens,8,17,1995,78.9
Europe,Greece,,Athens,8,18,1995,79.9
Europe,Greece,,Athens,8,19,1995,82.0
Europe,Greece,,Athens,8,20,1995,80.1
Europe,Greece,,Athens,8,21,1995,80.1
Europe,Greece,,Athens,8,22,1995,79.7
Europe,Greece,,Athens,8,23,1995,82.2
Europe,Greece,,Athens,8,24,1995,82.0
Europe,Greece,,Athens,8,25,1995,79.6
Europe,Greece,,Athens,8,26,1995,82.0
Europe,Greece,,Athens,8,27,1995,80.9
Europe,Greece,,Athens,8,28,1995,79.9
Europe,Greece,,Athens,8,29,1995,79.4
Europe,Greece,,Athens,8,30,1995,76.0
Europe,Greece,,Athens,8,31,1995,76.9
Europe,Greece,,Athens,9,1,1995,78.4
Europe,Greece,,Athens,9,2,1995,76.7
Europe,Greece,,Athens,9,3,1995,72.8
Europe,Greece,,Athens,9,4,1995,77.3
Europe,Greece,,Athens,9,5,1995,78.7
Europe,Greece,,Athens,9,6,1995,81.4
Europe,Greece,,Athens,9,7,1995,79.5
Europe,Greece,,Athens,9,8,1995,77.1
Europe,Greece,,Athens,9,9,1995,80.5
Europe,Greece,,Athens,9,10,1995,79.8
Europe,Greece,,Athens,9,11,1995,77.4
Europe,Greece,,Athens,9,12,1995,78.5
Europe,Greece,,Athens,9,13,1995,78.8
Europe,Greece,,Athens,9,14,1995,77.4
Europe,Greece,,Athens,9,15,1995,77.5
Europe,Greece,,Athens,9,16,1995,76.9
Europe,Greece,,Athens,9,17,1995,77.2
Europe,Greece,,Athens,9,18,1995,77.6
Europe,Greece,,Athens,9,19,1995,75.4
Europe,Greece,,Athens,9,20,1995,75.0
Europe,Greece,,Athens,9,21,1995,75.7
Europe,Greece,,Athens,9,22,1995,78.1
Europe,Greece,,Athens,9,23,1995,76.2
Europe,Greece,,Athens,9,24,1995,68.8
Europe,Greece,,Athens,9,25,1995,68.1
Europe,Greece,,Athens,9,26,1995,69.0
Europe,Greece,,Athens,9,27,1995,71.1
Europe,Greece,,Athens,9,28,1995,72.9
Europe,Greece,,Athens,9,29,1995,75.6
Europe,Greece,,Athens,9,30,1995,69.4
Europe,Greece,,Athens,10,1,1995,66.8
Europe,Greece,,Athens,10,2,1995,64.3
Europe,Greece,,Athens,10,3,1995,65.4
Europe,Greece,,Athens,10,4,1995,67.6
Europe,Greece,,Athens,10,5,1995,68.5
Europe,Greece,,Athens,10,6,1995,69.7
Europe,Greece,,Athens,10,7,1995,68.4
Europe,Greece,,Athens,10,8,1995,67.7
Europe,Greece,,Athens,10,9,1995,66.2
Europe,Greece,,Athens,10,10,1995,67.2
Europe,Greece,,Athens,10,11,1995,67.0
Europe,Greece,,Athens,10,12,1995,67.4
Europe,Greece,,Athens,10,13,1995,67.2
Europe,Greece,,Athens,10,14,1995,68.0
Europe,Greece,,Athens,10,15,1995,70.6
Europe,Greece,,Athens,10,16,1995,68.0
Europe,Greece,,Athens,10,17,1995,65.5
Europe,Greece,,Athens,10,18,1995,64.0
Europe,Greece,,Athens,10,19,1995,64.5
Europe,Greece,,Athens,10,20,1995,64.8
Europe,Greece,,Athens,10,21,1995,64.6
Europe,Greece,,Athens,10,22,1995,65.5
Europe,Greece,,Athens,10,23,1995,60.7
Europe,Greece,,Athens,10,24,1995,55.4
Europe,Greece,,Athens,10,25,1995,57.3
Europe,Greece,,Athens,10,26,1995,58.0
Europe,Greece,,Athens,10,27,1995,55.7
Europe,Greece,,Athens,10,28,1995,57.9
Europe,Greece,,Athens,10,29,1995,58.6
Europe,Greece,,Athens,10,30,1995,59.3
Europe,Greece,,Athens,10,31,1995,60.6
Europe,Greece,,Athens,11,1,1995,61.9
Europe,Greece,,Athens,11,2,1995,61.8
Europe,Greece,,Athens,11,3,1995,64.4
Europe,Greece,,Athens,11,4,1995,66.1
Europe,Greece,,Athens,11,5,1995,62.6
Europe,Greece,,Athens,11,6,1995,52.1
Europe,Greece,,Athens,11,7,1995,48.0
Europe,Greece,,Athens,11,8,1995,47.1
Europe,Greece,,Athens,11,9,1995,48.3
Europe,Greece,,Athens,11,10,1995,50.5
Europe,Greece,,Athens,11,11,1995,53.2
Europe,Greece,,Athens,11,12,1995,56.4
Europe,Greece,,Athens,11,13,1995,60.8
Europe,Greece,,Athens,11,14,1995,62.3
Europe,Greece,,Athens,11,15,1995,64.6
Europe,Greece,,Athens,11,16,1995,62.9
Europe,Greece,,Athens,11,17,1995,62.6
Europe,Greece,,Athens,11,18,1995,66.4
Europe,Greece,,Athens,11,19,1995,56.6
Europe,Greece,,Athens,11,20,1995,48.5
Europe,Greece,,Athens,11,21,1995,43.4
Europe,Greece,,Athens,11,22,1995,41.8
Europe,Greece,,Athens,11,23,1995,45.1
Europe,Greece,,Athens,11,24,1995,45.4
Europe,Greece,,Athens,11,25,1995,49.5
