Region,Country,State,City,Month,Day,Year,AvgTemperature
Asia,Thailand,,Bangkok,1,1,1996,70.1
Asia,Thailand,,Bangkok,1,2,1996,72.0
Asia,Thailand,,Bangkok,1,3,1996,73.7
Asia,Thailand,,Bangkok,1,4,1996,73.7
Asia,Thailand,,Bangkok,1,5,1996,74.8
Asia,Thailand,,Bangkok,1,6,1996,77.7
Asia,Thailand,,Bangkok,1,7,1996,77.7
Asia,Thailand,,Bangkok,1,8,1996,78.5
Asia,Thailand,,Bangkok,1,9,1996,79.1
Asia,Thailand,,Bangkok,1,10,1996,80.3
Asia,Thailand,,Bangkok,1,11,1996,81.1
Asia,Thailand,,Bangkok,1,12,1996,79.5
Asia,Thailand,,Bangkok,1,13,1996,78.0
Asia,Thailand,,Bangkok,1,14,1996,79.9
Asia,Thailand,,Bangkok,1,15,1996,80.6
Asia,Thailand,,Bangkok,1,16,1996,79.8
Asia,Thailand,,Bangkok,1,17,1996,79.9
Asia,Thailand,,Bangkok,1,18,1996,80.9
Asia,Thailand,,Bangkok,1,19,1996,80.2
Asia,Thailand,,Bangkok,1,20,1996,80.5
Asia,Thailand,,Bangkok,1,21,1996,81.1
Asia,Thailand,,Bangkok,1,22,1996,81.6
Asia,Thailand,,Bangkok,1,23,1996,84.0
Asia,Thailand,,Bangkok,1,24,1996,79.7
Asia,Thailand,,Bangkok,1,25,1996,81.1
Asia,Thailand,,Bangkok,1,26,1996,82.3
Asia,Thailand,,Bangkok,1,27,1996,81.3
Asia,Thailand,,Bangkok,1,28,1996,80.4
Asia,Thailand,,Bangkok,1,29,1996,78.9
Asia,Thailand,,Bangkok,1,30,1996,76.8
Asia,Thailand,,Bangkok,1,31,1996,78.7
Asia,Thailand,,Bangkok,2,1,1996,76.5
Asia,Thailand,,Bangkok,2,2,1996,76.6
Asia,Thailand,,Bangkok,2,3,1996,75.9
Asia,Thailand,,Bangkok,2,4,1996,77.8
Asia,Thailand,,Bangkok,2,5,1996,77.9
Asia,Thailand,,Bangkok,2,6,1996,77.5
Asia,Thailand,,Bangkok,2,7,1996,77.1
Asia,Thailand,,Bangkok,2,8,1996,80.9
Asia,Thailand,,Bangkok,2,9,1996,78.3
Asia,Thailand,,Bangkok,2,10,1996,78.5
Asia,Thailand,,Bangkok,2,11,1996,78.8
Asia,Thailand,,Bangkok,2,12,1996,83.1
Asia,Thailand,,Bangkok,2,13,1996,84.3
Asia,Thailand,,Bangkok,2,14,1996,85.0
Asia,Thailand,,Bangkok,2,15,1996,85.9
Asia,Thailand,,Bangkok,2,16,1996,87.4
Asia,Thailand,,Bangkok,2,17,1996,87.3
Asia,Thailand,,Bangkok,2,18,1996,83.4
Asia,Thailand,,Bangkok,2,19,1996,79.7
Asia,Thailand,,Bangkok,2,20,1996,76.2
Asia,Thailand,,Bangkok,2,21,1996,78.0
Asia,Thailand,,Bangkok,2,22,1996,80.3
Asia,Thailand,,Bangkok,2,23,1996,82.8
Asia,Thailand,,Bangkok,2,24,1996,84.9
Asia,Thailand,,Bangkok,2,25,1996,83.9
Asia,Thailand,,Bangkok,2,26,1996,83.8
Asia,Thailand,,Bangkok,2,27,1996,85.4
Asia,Thailand,,Bangkok,2,28,1996,84.2
Asia,Thailand,,Bangkok,2,29,1996,85.8
Asia,Thailand,,Bangkok,3,1,1996,82.8
Asia,Thailand,,Bangkok,3,2,1996,81.9
Asia,Thailand,,Bangkok,3,3,1996,84.8
Asia,Thailand,,Bangkok,3,4,1996,86.1
Asia,Thailand,,Bangkok,3,5,1996,85.2
Asia,Thailand,,Bangkok,3,6,1996,84.7
Asia,Thailand,,Bangkok,3,7,1996,84.1
Asia,Thailand,,Bangkok,3,8,1996,84.9
Asia,Thailand,,Bangkok,3,9,1996,85.7
Asia,Thailand,,Bangkok,3,10,1996,85.7
Asia,Thailand,,Bangkok,3,11,1996,87.3
Asia,Thailand,,Bangkok,3,12,1996,86.5
Asia,Thailand,,Bangkok,3,13,1996,87.1
Asia,Thailand,,Bangkok,3,14,1996,86.6
Asia,Thailand,,Bangkok,3,15,1996,87.1
Asia,Thailand,,Bangkok,3,16,1996,88.0
Asia,Thailand,,Bangkok,3,17,1996,87.6
Asia,Thailand,,Bangkok,3,18,1996,87.5
Asia,Thailand,,Bangkok,3,19,1996,86.7
Asia,Thailand,,Bangkok,3,20,1996,87.9
Asia,Thailand,,Bangkok,3,21,1996,88.0
Asia,Thailand,,Bangkok,3,22,1996,89.9
Asia,Thailand,,Bangkok,3,23,1996,86.1
Asia,Thailand,,Bangkok,3,24,1996,89.2
Asia,Thailand,,Bangkok,3,25,1996,88.7
Asia,Thailand,,Bangkok,3,26,1996,89.1
Asia,Thailand,,Bangkok,3,27,1996,86.9
Asia,Thailand,,Bangkok,3,28,1996,85.5
Asia,Thailand,,Bangkok,3,29,1996,88.8
Asia,Thailand,,Bangkok,3,30,1996,88.1
Asia,Thailand,,Bangkok,3,31,1996,90.7
Asia,Thailand,,Bangkok,4,1,1996,90.4
Asia,Thailand,,Bangkok,4,2,1996,90.6
Asia,Thailand,,Bangkok,4,3,1996,88.9
Asia,Thailand,,Bangkok,4,4,1996,83.9
Asia,Thailand,,Bangkok,4,5,1996,83.0
Asia,Thailand,,Bangkok,4,6,1996,86.3
Asia,Thailand,,Bangkok,4,7,1996,89.9
Asia,Thailand,,Bangkok,4,8,1996,89.0
Asia,Thailand,,Bangkok,4,9,1996,90.6
Asia,Thailand,,Bangkok,4,10,1996,90.4
Asia,Thailand,,Bangkok,4,11,1996,90.3
Asia,Thailand,,Bangkok,4,12,1996,87.9
Asia,Thailand,,Bangkok,4,13,1996,87.8
Asia,Thailand,,Bangkok,4,14,1996,80.9
Asia,Thailand,,Bangkok,4,15,1996,89.8
Asia,Thailand,,Bangkok,4,16,1996,89.2
Asia,Thailand,,Bangkok,4,17,1996,88.7
Asia,Thailand,,Bangkok,4,18,1996,90.6
Asia,Thailand,,Bangkok,4,19,1996,91.5
Asia,Thailand,,Bangkok,4,20,1996,89.3
Asia,Thailand,,Bangkok,4,21,1996,86.1
Asia,Thailand,,Bangkok,4,22,1996,86.4
Asia,Thailand,,Bangkok,4,23,1996,89.5
Asia,Thailand,,Bangkok,4,24,1996,86.5
Asia,Thailand,,Bangkok,4,25,1996,86.7
