Region,Country,State,City,Month,Day,Year,AvgTemperature
Africa,South Africa,,Capetown,1,1,1995,66.8
Africa,South Africa,,Capetown,1,2,1995,67.8
Africa,South Africa,,Capetown,1,3,1995,66.9
Africa,South Africa,,Capetown,1,4,1995,69.5
Africa,South Africa,,Capetown,1,5,1995,70.6
Africa,South Africa,,Capetown,1,6,1995,69.1
Africa,South Africa,,Capetown,1,7,1995,66.2
Africa,South Africa,,Capetown,1,8,1995,66.8
Africa,South Africa,,Capetown,1,9,1995,71.0
Africa,South Africa,,Capetown,1,10,1995,74.1
Africa,South Africa,,Capetown,1,11,1995,73.9
Africa,South Africa,,Capetown,1,12,1995,68.4
Africa,South Africa,,Capetown,1,13,1995,70.2
Africa,South Africa,,Capetown,1,14,1995,71.4
Africa,South Africa,,Capetown,1,15,1995,76.9
Africa,South Africa,,Capetown,1,16,1995,72.7
Africa,South Africa,,Capetown,1,17,1995,71.3
Africa,South Africa,,Capetown,1,18,1995,67.5
Africa,South Africa,,Capetown,1,19,1995,70.5
Africa,South Africa,,Capetown,1,20,1995,72.4
Africa,South Africa,,Capetown,1,21,1995,71.0
Africa,South Africa,,Capetown,1,22,1995,68.4
Africa,South Africa,,Capetown,1,23,1995,73.2
Africa,South Africa,,Capetown,1,24,1995,69.4
Africa,South Africa,,Capetown,1,25,1995,67.1
Africa,South Africa,,Capetown,1,26,1995,67.7
Africa,South Africa,,Capetown,1,27,1995,67.6
Africa,South Africa,,Capetown,1,28,1995,65.8
Africa,South Africa,,Capetown,1,29,1995,65.9
Africa,South Africa,,Capetown,1,30,1995,66.8
Africa,South Africa,,Capetown,1,31,1995,67.0
Africa,South Africa,,Capetown,2,1,1995,65.9
Africa,South Africa,,Capetown,2,2,1995,70.0
Africa,South Africa,,Capetown,2,3,1995,71.0
Africa,South Africa,,Capetown,2,4,1995,76.0
Africa,South Africa,,Capetown,2,5,1995,75.0
Africa,South Africa,,Capetown,2,6,1995,71.2
Africa,South Africa,,Capetown,2,7,1995,69.8
Africa,South Africa,,Capetown,2,8,1995,70.6
Africa,South Africa,,Capetown,2,9,1995,74.9
Africa,South Africa,,Capetown,2,10,1995,71.0
Africa,South Africa,,Capetown,2,11,1995,68.4
Africa,South Africa,,Capetown,2,12,1995,70.6
Africa,South Africa,,Capetown,2,13,1995,68.6
Africa,South Africa,,Capetown,2,14,1995,68.6
Africa,South Africa,,Capetown,2,15,1995,67.0
Africa,South Africa,,Capetown,2,16,1995,69.6
Africa,South Africa,,Capetown,2,17,1995,74.5
Africa,South Africa,,Capetown,2,18,1995,69.6
Africa,South Africa,,Capetown,2,19,1995,68.8
Africa,South Africa,,Capetown,2,20,1995,64.7
Africa,South Africa,,Capetown,2,21,1995,65.9
Africa,South Africa,,Capetown,2,22,1995,68.2
Africa,South Africa,,Capetown,2,23,1995,69.1
Africa,South Africa,,Capetown,2,24,1995,72.3
Africa,South Africa,,Capetown,2,25,1995,73.4
Africa,South Africa,,Capetown,2,26,1995,70.8
Africa,South Africa,,Capetown,2,27,1995,67.2
Africa,South Africa,,Capetown,2,28,1995,68.0
Africa,South Africa,,Capetown,3,1,1995,73.7
Africa,South Africa,,Capetown,3,2,1995,73.4
Africa,South Africa,,Capetown,3,3,1995,69.4
Africa,South Africa,,Capetown,3,4,1995,67.5
Africa,South Africa,,Capetown,3,5,1995,68.4
Africa,South Africa,,Capetown,3,6,1995,68.8
Africa,South Africa,,Capetown,3,7,1995,73.3
Africa,South Africa,,Capetown,3,8,1995,67.0
Africa,South Africa,,Capetown,3,9,1995,71.3
Africa,South Africa,,Capetown,3,10,1995,74.7
