Region,Country,State,City,Month,Day,Year,AvgTemperature
Asia,Sri Lanka,,Colombo,1,1,1995,86.1
Asia,Sri Lanka,,Colombo,1,2,1995,79.2
Asia,Sri Lanka,,Colombo,1,3,1995,81.5
Asia,Sri Lanka,,Colombo,1,4,1995,79.5
Asia,Sri Lanka,,Colombo,1,5,1995,81.0
Asia,Sri Lanka,,Colombo,1,6,1995,82.7
Asia,Sri Lanka,,Colombo,1,7,1995,76.7
Asia,Sri Lanka,,Colombo,1,8,1995,79.2
Asia,Sri Lanka,,Colombo,1,9,1995,81.0
Asia,Sri Lanka,,Colombo,1,10,1995,79.6
Asia,Sri Lanka,,Colombo,1,11,1995,82.1
Asia,Sri Lanka,,Colombo,1,12,1995,79.1
Asia,Sri Lanka,,Colombo,1,13,1995,81.8
Asia,Sri Lanka,,Colombo,1,14,1995,81.2
Asia,Sri Lanka,,Colombo,1,15,1995,77.1
Asia,Sri Lanka,,Colombo,1,16,1995,80.7
Asia,Sri Lanka,,Colombo,1,18,1995,79.2
Asia,Sri Lanka,,Colombo,1,19,1995,79.3
Asia,Sri Lanka,,Colombo,1,20,1995,82.2
Asia,Sri Lanka,,Colombo,1,21,1995,80.2
Asia,Sri Lanka,,Colombo,1,22,1995,80.5
Asia,Sri Lanka,,Colombo,1,23,1995,84.4
Asia,Sri Lanka,,Colombo,1,24,1995,79.1
Asia,Sri Lanka,,Colombo,1,25,1995,77.9
Asia,Sri Lanka,,Colombo,1,26,1995,80.7
Asia,Sri Lanka,,Colombo,1,27,1995,79.1
Asia,Sri Lanka,,Colombo,1,28,1995,79.8
Asia,Sri Lanka,,Colombo,1,29,1995,80.6
Asia,Sri Lanka,,Colombo,1,31,1995,81.8
Asia,Sri Lanka,,Colombo,2,1,1995,83.7
Asia,Sri Lanka,,Colombo,2,2,1995,81.5
Asia,Sri Lanka,,Colombo,2,3,1995,82.0
Asia,Sri Lanka,,Colombo,2,4,1995,83.8
Asia,Sri Lanka,,Colombo,2,5,1995,81.2
Asia,Sri Lanka,,Colombo,2,6,1995,87.8
Asia,Sri Lanka,,Colombo,2,7,1995,83.9
Asia,Sri Lanka,,Colombo,2,8,1995,83.3
Asia,Sri Lanka,,Colombo,2,9,1995,80.8
Asia,Sri Lanka,,Colombo,2,10,1995,82.5
Asia,Sri Lanka,,Colombo,2,11,1995,79.4
Asia,Sri Lanka,,Colombo,2,12,1995,76.3
Asia,Sri Lanka,,Colombo,2,13,1995,80.5
Asia,Sri Lanka,,Colombo,2,14,1995,77.1
Asia,Sri Lanka,,Colombo,2,15,1995,79.0
Asia,Sri Lanka,,Colombo,2,16,1995,82.5
Asia,Sri Lanka,,Colombo,2,17,1995,81.8
Asia,Sri Lanka,,Colombo,2,18,1995,80.3
Asia,Sri Lanka,,Colombo,2,19,1995,83.5
Asia,Sri Lanka,,Colombo,2,20,1995,82.2
Asia,Sri Lanka,,Colombo,2,21,1995,79.9
Asia,Sri Lanka,,Colombo,2,22,1995,80.2
Asia,Sri Lanka,,Colombo,2,23,1995,82.4
Asia,Sri Lanka,,Colombo,2,24,1995,88.1
Asia,Sri Lanka,,Colombo,2,25,1995,80.6
Asia,Sri Lanka,,Colombo,2,26,1995,83.0
Asia,Sri Lanka,,Colombo,2,27,1995,84.4
Asia,Sri Lanka,,Colombo,2,28,1995,78.5
Asia,Sri Lanka,,Colombo,3,1,1995,81.8
Asia,Sri Lanka,,Colombo,3,2,1995,78.7
Asia,Sri Lanka,,Colombo,3,3,1995,81.8
Asia,Sri Lanka,,Colombo,3,4,1995,80.4
Asia,Sri Lanka,,Colombo,3,5,1995,76.9
Asia,Sri Lanka,,Colombo,3,6,1995,86.0
Asia,Sri Lanka,,Colombo,3,7,1995,84.6
Asia,Sri Lanka,,Colombo,3,8,1995,81.9
Asia,Sri Lanka,,Colombo,3,9,1995,84.5
Asia,Sri Lanka,,Colombo,3,10,1995,83.3
Asia,Sri Lanka,,Colombo,3,11,1995,83.5
Asia,Sri Lanka,,Colombo,3,12,1995,85.7
Asia,Sri Lanka,,Colombo,3,13,1995,82.6
Asia,Sri Lanka,,Colombo,3,14,1995,84.3
Asia,Sri Lanka,,Colombo,3,15,1995,84.5
Asia,Sri Lanka,,Colombo,3,16,1995,83.9
Asia,Sri Lanka,,Colombo,3,17,1995,85.9
Asia,Sri Lanka,,Colombo,3,18,1995,82.4
Asia,Sri Lanka,,Colombo,3,19,1995,87.7
Asia,Sri Lanka,,Colombo,3,20,1995,83.9
Asia,Sri Lanka,,Colombo,3,21,1995,85.0
Asia,Sri Lanka,,Colombo,3,22,1995,84.1
Asia,Sri Lanka,,Colombo,3,23,1995,82.1
Asia,Sri Lanka,,Colombo,3,24,1995,86.7
Asia,Sri Lanka,,Colombo,3,25,1995,83.7
Asia,Sri Lanka,,Colombo,3,26,1995,86.6
