Region,Country,State,City,Month,Day,Year,AvgTemperature
Africa,Senegal,,Dakar,1,1,1995,70.8
Africa,Senegal,,Dakar,1,2,1995,71.7
Africa,Senegal,,Dakar,1,3,1995,71.7
Africa,Senegal,,Dakar,1,4,1995,71.3
Africa,Senegal,,Dakar,1,5,1995,70.8
Africa,Senegal,,Dakar,1,6,1995,76.9
Africa,Senegal,,Dakar,1,7,1995,72.3
Africa,Senegal,,Dakar,1,8,1995,70.2
Africa,Senegal,,Dakar,1,9,1995,68.7
Africa,Senegal,,Dakar,1,10,1995,70.2
Africa,Senegal,,Dakar,1,11,1995,68.1
Africa,Senegal,,Dakar,1,12,1995,67.8
Africa,Senegal,,Dakar,1,13,1995,68.1
Africa,Senegal,,Dakar,1,14,1995,69.0
Africa,Senegal,,Dakar,1,15,1995,70.7
Africa,Senegal,,Dakar,1,16,1995,69.3
Africa,Senegal,,Dakar,1,17,1995,68.2
Africa,Senegal,,Dakar,1,18,1995,67.9
Africa,Senegal,,Dakar,1,19,1995,69.9
Africa,Senegal,,Dakar,1,20,1995,68.2
Africa,Senegal,,Dakar,1,21,1995,67.9
Africa,Senegal,,Dakar,1,22,1995,69.7
Africa,Senegal,,Dakar,1,23,1995,68.4
Africa,Senegal,,Dakar,1,24,1995,71.4
Africa,Senegal,,Dakar,1,25,1995,71.8
Africa,Senegal,,Dakar,1,26,1995,70.0
Africa,Senegal,,Dakar,1,27,1995,70.6
Africa,Senegal,,Dakar,1,28,1995,70.6
Africa,Senegal,,Dakar,1,29,1995,69.7
Africa,Senegal,,Dakar,1,30,1995,73.5
Africa,Senegal,,Dakar,1,31,1995,69.8
Africa,Senegal,,Dakar,2,1,1995,70.8
Africa,Senegal,,Dakar,2,2,1995,72.0
Africa,Senegal,,Dakar,2,3,1995,72.4
Africa,Senegal,,Dakar,2,4,1995,71.2
Africa,Senegal,,Dakar,2,5,1995,73.6
Africa,Senegal,,Dakar,2,6,1995,70.4
Africa,Senegal,,Dakar,2,7,1995,69.4
Africa,Senegal,,Dakar,2,8,1995,69.5
Africa,Senegal,,Dakar,2,9,1995,70.9
Africa,Senegal,,Dakar,2,10,1995,69.2
Africa,Senegal,,Dakar,2,11,1995,68.6
Africa,Senegal,,Dakar,2,12,1995,68.6
Africa,Senegal,,Dakar,2,13,1995,69.2
Africa,Senegal,,Dakar,2,14,1995,70.3
Africa,Senegal,,Dakar,2,15,1995,69.5
Africa,Senegal,,Dakar,2,16,1995,70.3
Africa,Senegal,,Dakar,2,17,1995,69.6
Africa,Senegal,,Dakar,2,18,1995,69.5
Africa,Senegal,,Dakar,2,19,1995,69.8
Africa,Senegal,,Dakar,2,20,1995,71.1
Africa,Senegal,,Dakar,2,21,1995,70.2
Africa,Senegal,,Dakar,2,22,1995,71.5
Africa,Senegal,,Dakar,2,23,1995,76.8
Africa,Senegal,,Dakar,2,24,1995,74.5
Africa,Senegal,,Dakar,2,25,1995,71.5
Africa,Senegal,,Dakar,2,26,1995,69.0
Africa,Senegal,,Dakar,2,27,1995,68.5
Africa,Senegal,,Dakar,2,28,1995,68.3
Africa,Senegal,,Dakar,3,1,1995,68.8
Africa,Senegal,,Dakar,3,2,1995,67.6
Africa,Senegal,,Dakar,3,3,1995,67.6
Africa,Senegal,,Dakar,3,4,1995,68.1
Africa,Senegal,,Dakar,3,5,1995,69.6
Africa,Senegal,,Dakar,3,6,1995,67.9
Africa,Senegal,,Dakar,3,7,1995,68.6
Africa,Senegal,,Dakar,3,8,1995,69.3
Africa,Senegal,,Dakar,3,9,1995,68.6
Africa,Senegal,,Dakar,3,10,1995,68.0
Africa,Senegal,,Dakar,3,11,1995,65.2
Africa,Senegal,,Dakar,3,12,1995,66.0
Africa,Senegal,,Dakar,3,13,1995,66.7
Africa,Senegal,,Dakar,3,14,1995,66.4
Africa,Senegal,,Dakar,3,15,1995,67.0
Africa,Senegal,,Dakar,3,16,1995,66.6
Africa,Senegal,,Dakar,3,17,1995,67.6
Africa,Senegal,,Dakar,3,18,1995,67.9
Africa,Senegal,,Dakar,3,19,1995,68.4
Africa,Senegal,,Dakar,3,20,1995,68.1
Africa,Senegal,,Dakar,3,21,1995,67.4
Africa,Senegal,,Dakar,3,22,1995,68.1
Africa,Senegal,,Dakar,3,23,1995,67.4
Africa,Senegal,,Dakar,3,24,1995,67.5
Africa,Senegal,,Dakar,3,25,1995,68.2
Africa,Senegal,,Dakar,3,26,1995,69.4
Africa,Senegal,,Dakar,3,27,1995,68.7
Africa,Senegal,,Dakar,3,28,1995,68.4
Africa,Senegal,,Dakar,3,29,1995,67.9
Africa,Senegal,,Dakar,3,30,1995,68.1
Africa,Senegal,,Dakar,3,31,1995,68.5
Africa,Senegal,,Dakar,4,1,1995,69.2
Africa,Senegal,,Dakar,4,2,1995,69.0
Africa,Senegal,,Dakar,4,3,1995,68.5
Africa,Senegal,,Dakar,4,4,1995,67.8
Africa,Senegal,,Dakar,4,5,1995,67.5
Africa,Senegal,,Dakar,4,6,1995,67.8
Africa,Senegal,,Dakar,4,7,1995,68.8
Africa,Senegal,,Dakar,4,8,1995,69.1
Africa,Senegal,,Dakar,4,9,1995,67.4
Africa,Senegal,,Dakar,4,10,1995,67.0
Africa,Senegal,,Dakar,4,11,1995,66.9
Africa,Senegal,,Dakar,4,12,1995,68.9
Africa,Senegal,,Dakar,4,13,1995,70.7
Africa,Senegal,,Dakar,4,14,1995,69.2
Africa,Senegal,,Dakar,4,15,1995,68.4
Africa,Senegal,,Dakar,4,16,1995,69.1
Africa,Senegal,,Dakar,4,17,1995,68.7
Africa,Senegal,,Dakar,4,18,1995,70.0
Africa,Senegal,,Dakar,4,19,1995,69.7
Africa,Senegal,,Dakar,4,20,1995,70.3
Africa,Senegal,,Dakar,4,21,1995,69.4
Africa,Senegal,,Dakar,4,22,1995,69.5
Africa,Senegal,,Dakar,4,23,1995,70.0
Africa,Senegal,,Dakar,4,24,1995,70.9
Africa,Senegal,,Dakar,4,25,1995,70.4
Africa,Senegal,,Dakar,4,26,1995,70.0
Africa,Senegal,,Dakar,4,27,1995,70.5
Africa,Senegal,,Dakar,4,28,1995,71.5
