Region,Country,State,City,Month,Day,Year,AvgTemperature
Asia,India,,Delhi,1,1,1995,50.7
Asia,India,,Delhi,1,2,1995,52.1
Asia,India,,Delhi,1,3,1995,53.8
Asia,India,,Delhi,1,4,1995,53.7
Asia,India,,Delhi,1,5,1995,54.5
Asia,India,,Delhi,1,6,1995,54.3
Asia,India,,Delhi,1,7,1995,57.1
Asia,India,,Delhi,1,8,1995,55.6
Asia,India,,Delhi,1,9,1995,54.0
Asia,India,,Delhi,1,10,1995,52.4
Asia,India,,Delhi,1,11,1995,54.8
Asia,India,,Delhi,1,12,1995,54.5
Asia,India,,Delhi,1,13,1995,55.5
Asia,India,,Delhi,1,14,1995,56.4
Asia,India,,Delhi,1,15,1995,55.8
Asia,India,,Delhi,1,16,1995,56.4
Asia,India,,Delhi,1,17,1995,53.7
Asia,India,,Delhi,1,18,1995,53.7
Asia,India,,Delhi,1,19,1995,54.5
Asia,India,,Delhi,1,20,1995,56.0
Asia,India,,Delhi,1,21,1995,56.3
Asia,India,,Delhi,1,22,1995,53.7
Asia,India,,Delhi,1,23,1995,53.6
Asia,India,,Delhi,1,24,1995,55.5
Asia,India,,Delhi,1,25,1995,58.0
Asia,India,,Delhi,1,26,1995,58.3
Asia,India,,Delhi,1,27,1995,59.8
Asia,India,,Delhi,1,28,1995,61.4
Asia,India,,Delhi,1,29,1995,60.3
Asia,India,,Delhi,1,30,1995,56.8
Asia,India,,Delhi,1,31,1995,58.8
Asia,India,,Delhi,2,1,1995,58.0
Asia,India,,Delhi,2,2,1995,57.0
Asia,India,,Delhi,2,3,1995,58.3
Asia,India,,Delhi,2,4,1995,58.5
Asia,India,,Delhi,2,5,1995,58.3
Asia,India,,Delhi,2,6,1995,58.5
Asia,India,,Delhi,2,7,1995,62.7
Asia,India,,Delhi,2,8,1995,65.0
Asia,India,,Delhi,2,9,1995,66.3
Asia,India,,Delhi,2,10,1995,67.6
Asia,India,,Delhi,2,11,1995,66.5
Asia,India,,Delhi,2,12,1995,68.4
Asia,India,,Delhi,2,13,1995,69.1
Asia,India,,Delhi,2,14,1995,66.8
Asia,India,,Delhi,2,15,1995,62.4
Asia,India,,Delhi,2,16,1995,62.5
Asia,India,,Delhi,2,17,1995,63.5
Asia,India,,Delhi,2,18,1995,66.6
Asia,India,,Delhi,2,19,1995,64.0
Asia,India,,Delhi,2,20,1995,64.9
Asia,India,,Delhi,2,21,1995,62.1
Asia,India,,Delhi,2,22,1995,53.8
