Region,Country,State,City,Month,Day,Year,AvgTemperature
Europe,Germany,,Frankfurt,1,3,1995,33.1
Europe,Germany,,Frankfurt,1,4,1995,24.2
Europe,Germany,,Frankfurt,1,5,1995,21.4
Europe,Germany,,Frankfurt,1,6,1995,21.1
Europe,Germany,,Frankfurt,1,9,1995,31.6
Europe,Germany,,Frankfurt,1,10,1995,38.1
Europe,Germany,,Frankfurt,1,12,1995,33.8
Europe,Germany,,Frankfurt,1,13,1995,31.3
Europe,Germany,,Frankfurt,1,17,1995,28.4
Europe,Germany,,Frankfurt,1,18,1995,31.4
Europe,Germany,,Frankfurt,1,19,1995,36.1
Europe,Germany,,Frankfurt,1,20,1995,38.6
Europe,Germany,,Frankfurt,1,23,1995,45.7
Europe,Germany,,Frankfurt,1,24,1995,42.4
Europe,Germany,,Frankfurt,1,25,1995,40.2
Europe,Germany,,Frankfurt,1,26,1995,53.0
Europe,Germany,,Frankfurt,1,27,1995,37.1
Europe,Germany,,Frankfurt,1,30,1995,39.6
Europe,Germany,,Frankfurt,1,31,1995,35.1
Europe,Germany,,Frankfurt,2,1,1995,44.6
Europe,Germany,,Frankfurt,2,2,1995,41.2
Europe,Germany,,Frankfurt,2,3,1995,36.0
Europe,Germany,,Frankfurt,2,6,1995,50.4
Europe,Germany,,Frankfurt,2,7,1995,47.1
Europe,Germany,,Frankfurt,2,8,1995,47.9
Europe,Germany,,Frankfurt,2,9,1995,36.9
Europe,Germany,,Frankfurt,2,10,1995,35.4
Europe,Germany,,Frankfurt,2,13,1995,44.4
Europe,Germany,,Frankfurt,2,14,1995,47.2
Europe,Germany,,Frankfurt,2,15,1995,47.7
Europe,Germany,,Frankfurt,2,16,1995,47.3
Europe,Germany,,Frankfurt,2,21,1995,51.0
Europe,Germany,,Frankfurt,2,22,1995,40.9
Europe,Germany,,Frankfurt,2,23,1995,38.7
Europe,Germany,,Frankfurt,2,24,1995,37.3
Europe,Germany,,Frankfurt,2,27,1995,40.6
Europe,Germany,,Frankfurt,2,28,1995,44.5
Europe,Germany,,Frankfurt,3,1,1995,49.6
Europe,Germany,,Frankfurt,3,2,1995,39.5
Europe,Germany,,Frankfurt,3,3,1995,45.8
Europe,Germany,,Frankfurt,3,6,1995,40.7
Europe,Germany,,Frankfurt,3,7,1995,40.0
Europe,Germany,,Frankfurt,3,8,1995,42.0
Europe,Germany,,Frankfurt,3,9,1995,40.3
Europe,Germany,,Frankfurt,3,10,1995,43.6
Europe,Germany,,Frankfurt,3,13,1995,44.4
Europe,Germany,,Frankfurt,3,14,1995,35.9
Europe,Germany,,Frankfurt,3,15,1995,39.8
Europe,Germany,,Frankfurt,3,16,1995,41.6
Europe,Germany,,Frankfurt,3,17,1995,45.2
Europe,Germany,,Frankfurt,3,20,1995,40.9
Europe,Germany,,Frankfurt,3,21,1995,41.5
Europe,Germany,,Frankfurt,3,22,1995,42.1
Europe,Germany,,Frankfurt,3,23,1995,46.5
Europe,Germany,,Frankfurt,3,24,1995,51.5
Europe,Germany,,Frankfurt,3,27,1995,41.4
Europe,Germany,,Frankfurt,3,28,1995,35.8
Europe,Germany,,Frankfurt,3,29,1995,35.7
Europe,Germany,,Frankfurt,3,30,1995,37.1
Europe,Germany,,Frankfurt,3,31,1995,35.0
Europe,Germany,,Frankfurt,4,3,1995,62.4
Europe,Germany,,Frankfurt,4,4,1995,51.3
Europe,Germany,,Frankfurt,4,5,1995,52.2
Europe,Germany,,Frankfurt,4,6,1995,52.2
Europe,Germany,,Frankfurt,4,7,1995,56.0
Europe,Germany,,Frankfurt,4,10,1995,44.0
Europe,Germany,,Frankfurt,4,11,1995,50.3
Europe,Germany,,Frankfurt,4,12,1995,46.3
Europe,Germany,,Frankfurt,4,13,1995,47.0
Europe,Germany,,Frankfurt,4,18,1995,49.4
Europe,Germany,,Frankfurt,4,19,1995,43.9
Europe,Germany,,Frankfurt,4,20,1995,44.8
Europe,Germany,,Frankfurt,4,21,1995,50.3
Europe,Germany,,Frankfurt,4,24,1995,68.4
Europe,Germany,,Frankfurt,4,25,1995,63.3
Europe,Germany,,Frankfurt,4,26,1995,59.7
Europe,Germany,,Frankfurt,4,27,1995,53.3
Europe,Germany,,Frankfurt,4,28,1995,51.2
Europe,Germany,,Frankfurt,5,2,1995,58.2
Europe,Germany,,Frankfurt,5,3,1995,63.7
Europe,Germany,,Frankfurt,5,4,1995,65.8
Europe,Germany,,Frankfurt,5,5,1995,71.4
Europe,Germany,,Frankfurt,5,8,1995,62.4
Europe,Germany,,Frankfurt,5,9,1995,53.6
Europe,Germany,,Frankfurt,5,10,1995,53.8
Europe,Germany,,Frankfurt,5,11,1995,57.0
Europe,Germany,,Frankfurt,5,12,1995,58.3
Europe,Germany,,Frankfurt,5,15,1995,52.2
Europe,Germany,,Frankfurt,5,16,1995,51.2
Europe,Germany,,Frankfurt,5,17,1995,56.6
Europe,Germany,,Frankfurt,5,18,1995,48.8
Europe,Germany,,Frankfurt,5,19,1995,51.7
Europe,Germany,,Frankfurt,5,22,1995,57.2
Europe,Germany,,Frankfurt,5,23,1995,62.7
Europe,Germany,,Frankfurt,5,24,1995,67.6
Europe,Germany,,Frankfurt,5,30,1995,58.6
Europe,Germany,,Frankfurt,5,31,1995,56.3
Europe,Germany,,Frankfurt,6,1,1995,54.4
Europe,Germany,,Frankfurt,6,2,1995,63.7
Europe,Germany,,Frankfurt,6,6,1995,60.8
Europe,Germany,,Frankfurt,6,7,1995,64.4
Europe,Germany,,Frankfurt,6,8,1995,59.2
Europe,Germany,,Frankfurt,6,9,1995,62.2
Europe,Germany,,Frankfurt,6,12,1995,60.1
Europe,Germany,,Frankfurt,6,13,1995,58.5
Europe,Germany,,Frankfurt,6,14,1995,61.2
Europe,Germany,,Frankfurt,6,16,1995,58.7
Europe,Germany,,Frankfurt,6,19,1995,69.8
Europe,Germany,,Frankfurt,6,20,1995,78.8
Europe,Germany,,Frankfurt,6,21,1995,74.3
Europe,Germany,,Frankfurt,6,22,1995,58.8
Europe,Germany,,Frankfurt,6,23,1995,61.1
Europe,Germany,,Frankfurt,6,26,1995,75.2
Europe,Germany,,Frankfurt,6,27,1995,76.6
Europe,Germany,,Frankfurt,6,28,1995,72.7
Europe,Germany,,Frankfurt,6,29,1995,80.0
Europe,Germany,,Frankfurt,6,30,1995,82.8
Europe,Germany,,Frankfurt,7,5,1995,65.1
Europe,Germany,,Frankfurt,7,6,1995,72.9
Europe,Germany,,Frankfurt,7,7,1995,72.3
Europe,Germany,,Frankfurt,7,10,1995,83.6
Europe,Germany,,Frankfurt,7,11,1995,75.5
Europe,Germany,,Frankfurt,7,12,1995,72.8
Europe,Germany,,Frankfurt,7,13,1995,77.1
Europe,Germany,,Frankfurt,7,14,1995,77.4
Europe,Germany,,Frankfurt,7,17,1995,65.4
Europe,Germany,,Frankfurt,7,18,1995,68.4
Europe,Germany,,Frankfurt,7,19,1995,74.5
Europe,Germany,,Frankfurt,7,20,1995,77.5
Europe,Germany,,Frankfurt,7,21,1995,82.1
Europe,Germany,,Frankfurt,7,24,1995,69.0
Europe,Germany,,Frankfurt,7,25,1995,73.1
Europe,Germany,,Frankfurt,7,26,1995,76.9
Europe,Germany,,Frankfurt,7,27,1995,69.7
Europe,Germany,,Frankfurt,7,28,1995,69.8
Europe,Germany,,Frankfurt,7,31,1995,77.5
Europe,Germany,,Frankfurt,8,1,1995,83.1
Europe,Germany,,Frankfurt,8,2,1995,76.7
Europe,Germany,,Frankfurt,8,3,1995,77.7
Europe,Germany,,Frankfurt,8,4,1995,82.8
Europe,Germany,,Frankfurt,8,7,1995,70.5
Europe,Germany,,Frankfurt,8,8,1995,64.0
Europe,Germany,,Frankfurt,8,9,1995,68.9
Europe,Germany,,Frankfurt,8,10,1995,71.2
Europe,Germany,,Frankfurt,8,11,1995,75.1
Europe,Germany,,Frankfurt,8,14,1995,67.4
Europe,Germany,,Frankfurt,8,15,1995,67.8
Europe,Germany,,Frankfurt,8,16,1995,68.0
Europe,Germany,,Frankfurt,8,17,1995,70.4
Europe,Germany,,Frankfurt,8,18,1995,74.2
Europe,Germany,,Frankfurt,8,21,1995,68.9
Europe,Germany,,Frankfurt,8,22,1995,75.1
Europe,Germany,,Frankfurt,8,23,1995,70.6
Europe,Germany,,Frankfurt,8,24,1995,65.4
Europe,Germany,,Frankfurt,8,25,1995,66.6
Europe,Germany,,Frankfurt,8,28,1995,55.1
Europe,Germany,,Frankfurt,8,29,1995,54.8
Europe,Germany,,Frankfurt,8,30,1995,52.8
Europe,Germany,,Frankfurt,8,31,1995,54.6
Europe,Germany,,Frankfurt,9,5,1995,61.9
Europe,Germany,,Frankfurt,9,6,1995,63.5
Europe,Germany,,Frankfurt,9,7,1995,62.8
Europe,Germany,,Frankfurt,9,8,1995,61.1
Europe,Germany,,Frankfurt,9,11,1995,62.3
Europe,Germany,,Frankfurt,9,12,1995,65.5
Europe,Germany,,Frankfurt,9,13,1995,58.2
Europe,Germany,,Frankfurt,9,14,1995,60.3
Europe,Germany,,Frankfurt,9,15,1995,60.1
Europe,Germany,,Frankfurt,9,18,1995,65.3
Europe,Germany,,Frankfurt,9,19,1995,59.7
Europe,Germany,,Frankfurt,9,20,1995,53.6
Europe,Germany,,Frankfurt,9,21,1995,56.3
Europe,Germany,,Frankfurt,9,22,1995,62.6
Europe,Germany,,Frankfurt,9,25,1995,56.4
Europe,Germany,,Frankfurt,9,26,1995,60.0
Europe,Germany,,Frankfurt,9,27,1995,55.7
Europe,Germany,,Frankfurt,9,28,1995,47.9
Europe,Germany,,Frankfurt,9,29,1995,50.0
Europe,Germany,,Frankfurt,10,2,1995,57.8
Europe,Germany,,Frankfurt,10,4,1995,64.6
Europe,Germany,,Frankfurt,10,5,1995,60.6
Europe,Germany,,Frankfurt,10,10,1995,64.6
Europe,Germany,,Frankfurt,10,11,1995,58.3
Europe,Germany,,Frankfurt,10,12,1995,61.8
Europe,Germany,,Frankfurt,10,13,1995,62.6
Europe,Germany,,Frankfurt,10,16,1995,61.2
Europe,Germany,,Frankfurt,10,17,1995,57.8
Europe,Germany,,Frankfurt,10,18,1995,60.1
Europe,Germany,,Frankfurt,10,19,1995,55.6
Europe,Germany,,Frankfurt,10,20,1995,59.0
Europe,Germany,,Frankfurt,10,23,1995,53.8
Europe,Germany,,Frankfurt,10,24,1995,54.4
Europe,Germany,,Frankfurt,10,25,1995,49.2
Europe,Germany,,Frankfurt,10,26,1995,58.8
Europe,Germany,,Frankfurt,10,27,1995,64.4
Europe,Germany,,Frankfurt,10,30,1995,52.8
Europe,Germany,,Frankfurt,10,31,1995,47.4
Europe,Germany,,Frankfurt,11,1,1995,47.8
Europe,Germany,,Frankfurt,11,2,1995,47.2
Europe,Germany,,Frankfurt,11,3,1995,44.9
Europe,Germany,,Frankfurt,11,6,1995,36.6
Europe,Germany,,Frankfurt,11,7,1995,37.6
Europe,Germany,,Frankfurt,11,8,1995,44.4
Europe,Germany,,Frankfurt,11,9,1995,47.1
Europe,Germany,,Frankfurt,11,10,1995,46.1
Europe,Germany,,Frankfurt,11,13,1995,42.3
Europe,Germany,,Frankfurt,11,14,1995,47.7
Europe,Germany,,Frankfurt,11,15,1995,49.1
Europe,Germany,,Frankfurt,11,16,1995,54.1
Europe,Germany,,Frankfurt,11,17,1995,44.8
Europe,Germany,,Frankfurt,11,20,1995,32.7
Europe,Germany,,Frankfurt,11,21,1995,32.6
Europe,Germany,,Frankfurt,11,22,1995,34.6
Europe,Germany,,Frankfurt,11,27,1995,33.0
Europe,Germany,,Frankfurt,11,28,1995,36.8
Europe,Germany,,Frankfurt,11,29,1995,37.6
Europe,Germany,,Frankfurt,11,30,1995,37.2
Europe,Germany,,Frankfurt,12,1,1995,34.6
Europe,Germany,,Frankfurt,12,4,1995,33.6
Europe,Germany,,Frankfurt,12,5,1995,29.1
Europe,Germany,,Frankfurt,12,6,1995,27.8
Europe,Germany,,Frankfurt,12,7,1995,32.1
Europe,Germany,,Frankfurt,12,8,1995,32.7
Europe,Germany,,Frankfurt,12,11,1995,33.5
Europe,Germany,,Frankfurt,12,12,1995,36.8
Europe,Germany,,Frankfurt,12,13,1995,33.6
Europe,Germany,,Frankfurt,12,14,1995,32.7
Europe,Germany,,Frankfurt,12,15,1995,32.1
Europe,Germany,,Frankfurt,12,18,1995,38.6
Europe,Germany,,Frankfurt,12,19,1995,43.8
Europe,Germany,,Frankfurt,12,20,1995,35.1
