Region,Country,State,City,Month,Day,Year,AvgTemperature
Europe,Switzerland,,Geneva,1,1,1995,37.4
Europe,Switzerland,,Geneva,1,2,1995,29.0
Europe,Switzerland,,Geneva,1,3,1995,29.4
Europe,Switzerland,,Geneva,1,4,1995,26.8
Europe,Switzerland,,Geneva,1,5,1995,19.4
Europe,Switzerland,,Geneva,1,6,1995,21.8
Europe,Switzerland,,Geneva,1,7,1995,28.2
Europe,Switzerland,,Geneva,1,8,1995,30.1
Europe,Switzerland,,Geneva,1,9,1995,30.4
Europe,Switzerland,,Geneva,1,10,1995,35.4
Europe,Switzerland,,Geneva,1,11,1995,38.9
Europe,Switzerland,,Geneva,1,12,1995,32.1
Europe,Switzerland,,Geneva,1,13,1995,30.0
Europe,Switzerland,,Geneva,1,14,1995,28.4
Europe,Switzerland,,Geneva,1,15,1995,25.7
Europe,Switzerland,,Geneva,1,16,1995,25.8
Europe,Switzerland,,Geneva,1,17,1995,28.0
Europe,Switzerland,,Geneva,1,18,1995,37.9
Europe,Switzerland,,Geneva,1,19,1995,38.1
Europe,Switzerland,,Geneva,1,20,1995,36.3
Europe,Switzerland,,Geneva,1,21,1995,38.3
Europe,Switzerland,,Geneva,1,22,1995,44.1
Europe,Switzerland,,Geneva,1,23,1995,46.7
Europe,Switzerland,,Geneva,1,24,1995,40.5
Europe,Switzerland,,Geneva,1,25,1995,48.0
Europe,Switzerland,,Geneva,1,26,1995,45.4
Europe,Switzerland,,Geneva,1,27,1995,38.9
Europe,Switzerland,,Geneva,1,28,1995,43.4
Europe,Switzerland,,Geneva,1,29,1995,45.2
Europe,Switzerland,,Geneva,1,30,1995,44.4
Europe,Switzerland,,Geneva,1,31,1995,38.3
Europe,Switzerland,,Geneva,2,1,1995,37.7
Europe,Switzerland,,Geneva,2,2,1995,44.0
Europe,Switzerland,,Geneva,2,3,1995,41.8
Europe,Switzerland,,Geneva,2,4,1995,38.7
Europe,Switzerland,,Geneva,2,5,1995,41.2
Europe,Switzerland,,Geneva,2,6,1995,39.9
Europe,Switzerland,,Geneva,2,7,1995,37.0
Europe,Switzerland,,Geneva,2,8,1995,46.0
Europe,Switzerland,,Geneva,2,9,1995,43.7
Europe,Switzerland,,Geneva,2,10,1995,39.8
Europe,Switzerland,,Geneva,2,11,1995,45.1
Europe,Switzerland,,Geneva,2,12,1995,46.6
Europe,Switzerland,,Geneva,2,13,1995,47.2
Europe,Switzerland,,Geneva,2,14,1995,44.1
