Region,Country,State,City,Month,Day,Year,AvgTemperature
Europe,Finland,,Helsinki,1,1,1995,34.9
Europe,Finland,,Helsinki,1,2,1995,28.9
Europe,Finland,,Helsinki,1,3,1995,16.5
Europe,Finland,,Helsinki,1,4,1995,27.5
Europe,Finland,,Helsinki,1,5,1995,31.6
Europe,Finland,,Helsinki,1,6,1995,28.3
Europe,Finland,,Helsinki,1,7,1995,27.4
Europe,Finland,,Helsinki,1,8,1995,33.3
Europe,Finland,,Helsinki,1,9,1995,32.2
Europe,Finland,,Helsinki,1,10,1995,30.6
Europe,Finland,,Helsinki,1,11,1995,26.1
Europe,Finland,,Helsinki,1,12,1995,22.3
Europe,Finland,,Helsinki,1,13,1995,15.3
Europe,Finland,,Helsinki,1,14,1995,21.9
Europe,Finland,,Helsinki,1,15,1995,33.2
Europe,Finland,,Helsinki,1,16,1995,30.9
Europe,Finland,,Helsinki,1,17,1995,33.3
Europe,Finland,,Helsinki,1,18,1995,30.5
Europe,Finland,,Helsinki,1,19,1995,22.3
Europe,Finland,,Helsinki,1,20,1995,23.2
Europe,Finland,,Helsinki,1,21,1995,22.3
Europe,Finland,,Helsinki,1,22,1995,22.4
Europe,Finland,,Helsinki,1,23,1995,27.3
Europe,Finland,,Helsinki,1,24,1995,33.8
Europe,Finland,,Helsinki,1,25,1995,31.3
Europe,Finland,,Helsinki,1,26,1995,32.8
Europe,Finland,,Helsinki,1,27,1995,29.7
Europe,Finland,,Helsinki,1,28,1995,18.0
Europe,Finland,,Helsinki,1,29,1995,22.3
Europe,Finland,,Helsinki,1,30,1995,18.1
Europe,Finland,,Helsinki,1,31,1995,10.4
Europe,Finland,,Helsinki,2,1,1995,23.6
Europe,Finland,,Helsinki,2,2,1995,34.0
Europe,Finland,,Helsinki,2,3,1995,28.9
Europe,Finland,,Helsinki,2,4,1995,34.8
Europe,Finland,,Helsinki,2,5,1995,30.1
Europe,Finland,,Helsinki,2,6,1995,31.8
Europe,Finland,,Helsinki,2,7,1995,25.7
Europe,Finland,,Helsinki,2,8,1995,22.4
Europe,Finland,,Helsinki,2,9,1995,24.2
Europe,Finland,,Helsinki,2,10,1995,30.7
Europe,Finland,,Helsinki,2,11,1995,25.6
Europe,Finland,,Helsinki,2,12,1995,20.9
Europe,Finland,,Helsinki,2,13,1995,34.6
Europe,Finland,,Helsinki,2,14,1995,33.8
Europe,Finland,,Helsinki,2,15,1995,35.6
Europe,Finland,,Helsinki,2,16,1995,36.1
Europe,Finland,,Helsinki,2,17,1995,35.5
Europe,Finland,,Helsinki,2,18,1995,34.3
Europe,Finland,,Helsinki,2,19,1995,34.4
Europe,Finland,,Helsinki,2,20,1995,34.7
Europe,Finland,,Helsinki,2,21,1995,33.4
Europe,Finland,,Helsinki,2,22,1995,33.6
Europe,Finland,,Helsinki,2,23,1995,34.9
Europe,Finland,,Helsinki,2,24,1995,34.3
Europe,Finland,,Helsinki,2,25,1995,33.4
Europe,Finland,,Helsinki,2,26,1995,30.7
Europe,Finland,,Helsinki,2,27,1995,31.0
Europe,Finland,,Helsinki,2,28,1995,32.5
Europe,Finland,,Helsinki,3,1,1995,34.4
Europe,Finland,,Helsinki,3,2,1995,34.5
Europe,Finland,,Helsinki,3,3,1995,33.8
Europe,Finland,,Helsinki,3,4,1995,33.9
Europe,Finland,,Helsinki,3,5,1995,33.2
Europe,Finland,,Helsinki,3,6,1995,30.9
Europe,Finland,,Helsinki,3,7,1995,33.2
Europe,Finland,,Helsinki,3,8,1995,32.1
Europe,Finland,,Helsinki,3,9,1995,33.8
Europe,Finland,,Helsinki,3,10,1995,32.9
Europe,Finland,,Helsinki,3,11,1995,34.2
Europe,Finland,,Helsinki,3,12,1995,33.6
Europe,Finland,,Helsinki,3,13,1995,31.3
Europe,Finland,,Helsinki,3,14,1995,29.2
Europe,Finland,,Helsinki,3,15,1995,30.9
Europe,Finland,,Helsinki,3,16,1995,30.9
Europe,Finland,,Helsinki,3,17,1995,31.7
Europe,Finland,,Helsinki,3,18,1995,32.3
Europe,Finland,,Helsinki,3,19,1995,34.1
Europe,Finland,,Helsinki,3,20,1995,34.2
Europe,Finland,,Helsinki,3,21,1995,32.5
Europe,Finland,,Helsinki,3,22,1995,31.5
Europe,Finland,,Helsinki,3,23,1995,34.4
Europe,Finland,,Helsinki,3,24,1995,35.8
Europe,Finland,,Helsinki,3,25,1995,34.1
Europe,Finland,,Helsinki,3,26,1995,34.1
Europe,Finland,,Helsinki,3,27,1995,31.7
Europe,Finland,,Helsinki,3,28,1995,29.8
Europe,Finland,,Helsinki,3,29,1995,29.4
Europe,Finland,,Helsinki,3,30,1995,26.8
Europe,Finland,,Helsinki,3,31,1995,27.6
Europe,Finland,,Helsinki,4,1,1995,30.7
Europe,Finland,,Helsinki,4,2,1995,31.5
Europe,Finland,,Helsinki,4,3,1995,29.4
Europe,Finland,,Helsinki,4,4,1995,32.3
Europe,Finland,,Helsinki,4,5,1995,33.4
Europe,Finland,,Helsinki,4,6,1995,32.1
Europe,Finland,,Helsinki,4,7,1995,32.7
Europe,Finland,,Helsinki,4,8,1995,34.8
Europe,Finland,,Helsinki,4,9,1995,33.5
Europe,Finland,,Helsinki,4,10,1995,33.8
Europe,Finland,,Helsinki,4,11,1995,33.7
Europe,Finland,,Helsinki,4,12,1995,36.1
Europe,Finland,,Helsinki,4,13,1995,38.2
Europe,Finland,,Helsinki,4,14,1995,37.1
Europe,Finland,,Helsinki,4,15,1995,42.5
Europe,Finland,,Helsinki,4,16,1995,43.4
Europe,Finland,,Helsinki,4,17,1995,37.8
Europe,Finland,,Helsinki,4,18,1995,37.5
Europe,Finland,,Helsinki,4,19,1995,40.6
Europe,Finland,,Helsinki,4,20,1995,48.2
Europe,Finland,,Helsinki,4,21,1995,42.6
Europe,Finland,,Helsinki,4,22,1995,43.0
Europe,Finland,,Helsinki,4,23,1995,51.6
Europe,Finland,,Helsinki,4,24,1995,55.8
Europe,Finland,,Helsinki,4,25,1995,44.8
Europe,Finland,,Helsinki,4,26,1995,39.6
Europe,Finland,,Helsinki,4,27,1995,38.9
Europe,Finland,,Helsinki,4,28,1995,40.3
Europe,Finland,,Helsinki,4,29,1995,34.1
Europe,Finland,,Helsinki,4,30,1995,33.5
Europe,Finland,,Helsinki,5,1,1995,35.1
Europe,Finland,,Helsinki,5,2,1995,37.8
Europe,Finland,,Helsinki,5,3,1995,50.0
Europe,Finland,,Helsinki,5,4,1995,48.5
Europe,Finland,,Helsinki,5,5,1995,47.7
Europe,Finland,,Helsinki,5,6,1995,46.2
Europe,Finland,,Helsinki,5,7,1995,48.7
Europe,Finland,,Helsinki,5,8,1995,41.5
Europe,Finland,,Helsinki,5,9,1995,39.3
Europe,Finland,,Helsinki,5,10,1995,39.1
Europe,Finland,,Helsinki,5,11,1995,37.5
Europe,Finland,,Helsinki,5,12,1995,35.8
Europe,Finland,,Helsinki,5,13,1995,44.4
Europe,Finland,,Helsinki,5,14,1995,35.6
Europe,Finland,,Helsinki,5,15,1995,38.1
Europe,Finland,,Helsinki,5,16,1995,41.8
Europe,Finland,,Helsinki,5,17,1995,45.1
Europe,Finland,,Helsinki,5,18,1995,50.0
Europe,Finland,,Helsinki,5,19,1995,54.6
Europe,Finland,,Helsinki,5,20,1995,47.4
Europe,Finland,,Helsinki,5,21,1995,55.2
Europe,Finland,,Helsinki,5,22,1995,47.8
Europe,Finland,,Helsinki,5,23,1995,47.8
Europe,Finland,,Helsinki,5,24,1995,48.0
Europe,Finland,,Helsinki,5,25,1995,57.8
Europe,Finland,,Helsinki,5,26,1995,59.3
Europe,Finland,,Helsinki,5,27,1995,53.0
Europe,Finland,,Helsinki,5,28,1995,59.4
Europe,Finland,,Helsinki,5,29,1995,68.5
Europe,Finland,,Helsinki,5,30,1995,71.0
Europe,Finland,,Helsinki,5,31,1995,71.7
Europe,Finland,,Helsinki,6,1,1995,69.6
Europe,Finland,,Helsinki,6,2,1995,69.6
Europe,Finland,,Helsinki,6,3,1995,73.3
Europe,Finland,,Helsinki,6,4,1995,67.5
Europe,Finland,,Helsinki,6,5,1995,62.9
Europe,Finland,,Helsinki,6,6,1995,61.4
Europe,Finland,,Helsinki,6,7,1995,59.4
Europe,Finland,,Helsinki,6,8,1995,61.4
Europe,Finland,,Helsinki,6,9,1995,63.5
Europe,Finland,,Helsinki,6,10,1995,60.2
Europe,Finland,,Helsinki,6,11,1995,59.8
Europe,Finland,,Helsinki,6,12,1995,67.7
Europe,Finland,,Helsinki,6,13,1995,69.4
Europe,Finland,,Helsinki,6,14,1995,73.3
Europe,Finland,,Helsinki,6,15,1995,71.7
Europe,Finland,,Helsinki,6,16,1995,63.9
Europe,Finland,,Helsinki,6,17,1995,62.4
Europe,Finland,,Helsinki,6,18,1995,57.8
Europe,Finland,,Helsinki,6,19,1995,56.4
Europe,Finland,,Helsinki,6,20,1995,59.2
Europe,Finland,,Helsinki,6,21,1995,63.1
Europe,Finland,,Helsinki,6,22,1995,66.6
Europe,Finland,,Helsinki,6,23,1995,61.0
Europe,Finland,,Helsinki,6,24,1995,63.0
Europe,Finland,,Helsinki,6,25,1995,70.6
Europe,Finland,,Helsinki,6,26,1995,67.9
Europe,Finland,,Helsinki,6,27,1995,61.3
Europe,Finland,,Helsinki,6,28,1995,58.3
Europe,Finland,,Helsinki,6,29,1995,55.5
Europe,Finland,,Helsinki,6,30,1995,51.7
Europe,Finland,,Helsinki,7,1,1995,52.0
Europe,Finland,,Helsinki,7,2,1995,56.2
Europe,Finland,,Helsinki,7,3,1995,58.2
Europe,Finland,,Helsinki,7,4,1995,57.0
Europe,Finland,,Helsinki,7,5,1995,52.7
Europe,Finland,,Helsinki,7,6,1995,57.2
Europe,Finland,,Helsinki,7,7,1995,57.7
Europe,Finland,,Helsinki,7,8,1995,64.6
Europe,Finland,,Helsinki,7,9,1995,59.9
Europe,Finland,,Helsinki,7,10,1995,57.7
Europe,Finland,,Helsinki,7,11,1995,61.2
Europe,Finland,,Helsinki,7,12,1995,60.1
Europe,Finland,,Helsinki,7,13,1995,59.6
Europe,Finland,,Helsinki,7,14,1995,61.4
Europe,Finland,,Helsinki,7,15,1995,57.0
Europe,Finland,,Helsinki,7,16,1995,59.3
Europe,Finland,,Helsinki,7,17,1995,63.4
Europe,Finland,,Helsinki,7,18,1995,62.2
Europe,Finland,,Helsinki,7,19,1995,61.0
Europe,Finland,,Helsinki,7,20,1995,61.5
Europe,Finland,,Helsinki,7,21,1995,61.4
Europe,Finland,,Helsinki,7,22,1995,64.0
Europe,Finland,,Helsinki,7,23,1995,61.1
Europe,Finland,,Helsinki,7,24,1995,60.8
Europe,Finland,,Helsinki,7,25,1995,60.3
Europe,Finland,,Helsinki,7,26,1995,61.5
Europe,Finland,,Helsinki,7,27,1995,63.4
Europe,Finland,,Helsinki,7,28,1995,68.8
