Region,Country,State,City,Month,Day,Year,AvgTemperature
Europe,Ukraine,,Kiev,1,1,1995,36.6
Europe,Ukraine,,Kiev,1,2,1995,32.8
Europe,Ukraine,,Kiev,1,3,1995,31.2
Europe,Ukraine,,Kiev,1,4,1995,26.9
Europe,Ukraine,,Kiev,1,5,1995,19.1
Europe,Ukraine,,Kiev,1,6,1995,21.6
Europe,Ukraine,,Kiev,1,7,1995,24.1
Europe,Ukraine,,Kiev,1,8,1995,25.1
Europe,Ukraine,,Kiev,1,9,1995,19.4
Europe,Ukraine,,Kiev,1,10,1995,27.3
Europe,Ukraine,,Kiev,1,11,1995,27.2
Europe,Ukraine,,Kiev,1,12,1995,23.1
Europe,Ukraine,,Kiev,1,13,1995,23.3
Europe,Ukraine,,Kiev,1,14,1995,23.2
Europe,Ukraine,,Kiev,1,15,1995,21.0
Europe,Ukraine,,Kiev,1,16,1995,29.1
Europe,Ukraine,,Kiev,1,17,1995,21.2
Europe,Ukraine,,Kiev,1,18,1995,12.8
Europe,Ukraine,,Kiev,1,19,1995,14.1
Europe,Ukraine,,Kiev,1,20,1995,8.9
Europe,Ukraine,,Kiev,1,21,1995,11.7
Europe,Ukraine,,Kiev,1,22,1995,10.1
Europe,Ukraine,,Kiev,1,23,1995,18.7
Europe,Ukraine,,Kiev,1,24,1995,33.2
Europe,Ukraine,,Kiev,1,25,1995,34.7
Europe,Ukraine,,Kiev,1,26,1995,33.4
Europe,Ukraine,,Kiev,1,27,1995,37.6
Europe,Ukraine,,Kiev,1,28,1995,32.0
Europe,Ukraine,,Kiev,1,29,1995,33.0
Europe,Ukraine,,Kiev,1,30,1995,32.6
Europe,Ukraine,,Kiev,1,31,1995,32.7
Europe,Ukraine,,Kiev,2,1,1995,25.5
Europe,Ukraine,,Kiev,2,2,1995,35.1
Europe,Ukraine,,Kiev,2,3,1995,33.8
Europe,Ukraine,,Kiev,2,4,1995,29.4
Europe,Ukraine,,Kiev,2,5,1995,32.5
Europe,Ukraine,,Kiev,2,6,1995,33.8
Europe,Ukraine,,Kiev,2,7,1995,38.0
Europe,Ukraine,,Kiev,2,8,1995,38.2
Europe,Ukraine,,Kiev,2,9,1995,33.9
Europe,Ukraine,,Kiev,2,10,1995,28.3
Europe,Ukraine,,Kiev,2,11,1995,29.6
Europe,Ukraine,,Kiev,2,12,1995,41.0
Europe,Ukraine,,Kiev,2,13,1995,43.0
Europe,Ukraine,,Kiev,2,14,1995,34.8
Europe,Ukraine,,Kiev,2,15,1995,35.1
Europe,Ukraine,,Kiev,2,16,1995,35.5
Europe,Ukraine,,Kiev,2,17,1995,35.4
Europe,Ukraine,,Kiev,2,18,1995,38.3
Europe,Ukraine,,Kiev,2,19,1995,38.7
Europe,Ukraine,,Kiev,2,20,1995,39.0
Europe,Ukraine,,Kiev,2,21,1995,37.4
Europe,Ukraine,,Kiev,2,22,1995,37.1
Europe,Ukraine,,Kiev,2,23,1995,37.7
Europe,Ukraine,,Kiev,2,24,1995,41.7
Europe,Ukraine,,Kiev,2,25,1995,42.4
Europe,Ukraine,,Kiev,2,26,1995,40.5
Europe,Ukraine,,Kiev,2,27,1995,36.5
Europe,Ukraine,,Kiev,2,28,1995,33.5
Europe,Ukraine,,Kiev,3,1,1995,42.9
Europe,Ukraine,,Kiev,3,2,1995,45.2
Europe,Ukraine,,Kiev,3,3,1995,44.6
Europe,Ukraine,,Kiev,3,4,1995,49.2
Europe,Ukraine,,Kiev,3,5,1995,47.8
Europe,Ukraine,,Kiev,3,6,1995,49.5
Europe,Ukraine,,Kiev,3,7,1995,49.6
Europe,Ukraine,,Kiev,3,8,1995,44.1
Europe,Ukraine,,Kiev,3,9,1995,42.8
Europe,Ukraine,,Kiev,3,10,1995,39.5
Europe,Ukraine,,Kiev,3,11,1995,41.7
Europe,Ukraine,,Kiev,3,12,1995,29.4
Europe,Ukraine,,Kiev,3,13,1995,16.8
Europe,Ukraine,,Kiev,3,14,1995,22.3
Europe,Ukraine,,Kiev,3,15,1995,28.0
Europe,Ukraine,,Kiev,3,16,1995,27.3
Europe,Ukraine,,Kiev,3,17,1995,30.2
Europe,Ukraine,,Kiev,3,18,1995,34.4
Europe,Ukraine,,Kiev,3,19,1995,42.3
Europe,Ukraine,,Kiev,3,20,1995,42.4
Europe,Ukraine,,Kiev,3,21,1995,39.0
Europe,Ukraine,,Kiev,3,22,1995,35.2
Europe,Ukraine,,Kiev,3,23,1995,35.7
Europe,Ukraine,,Kiev,3,24,1995,37.3
Europe,Ukraine,,Kiev,3,25,1995,41.2
Europe,Ukraine,,Kiev,3,26,1995,40.5
Europe,Ukraine,,Kiev,3,27,1995,40.6
Europe,Ukraine,,Kiev,3,28,1995,37.8
Europe,Ukraine,,Kiev,3,29,1995,33.6
Europe,Ukraine,,Kiev,3,30,1995,38.3
Europe,Ukraine,,Kiev,3,31,1995,40.3
Europe,Ukraine,,Kiev,4,1,1995,38.1
Europe,Ukraine,,Kiev,4,2,1995,38.6
Europe,Ukraine,,Kiev,4,3,1995,41.1
Europe,Ukraine,,Kiev,4,4,1995,46.3
Europe,Ukraine,,Kiev,4,5,1995,37.7
Europe,Ukraine,,Kiev,4,6,1995,41.8
Europe,Ukraine,,Kiev,4,7,1995,42.2
Europe,Ukraine,,Kiev,4,8,1995,43.5
Europe,Ukraine,,Kiev,4,9,1995,40.0
Europe,Ukraine,,Kiev,4,10,1995,38.3
Europe,Ukraine,,Kiev,4,11,1995,34.6
Europe,Ukraine,,Kiev,4,12,1995,35.7
Europe,Ukraine,,Kiev,4,13,1995,43.2
Europe,Ukraine,,Kiev,4,14,1995,50.5
Europe,Ukraine,,Kiev,4,15,1995,47.3
Europe,Ukraine,,Kiev,4,16,1995,45.9
Europe,Ukraine,,Kiev,4,17,1995,48.7
Europe,Ukraine,,Kiev,4,18,1995,46.2
Europe,Ukraine,,Kiev,4,19,1995,53.5
Europe,Ukraine,,Kiev,4,20,1995,57.5
Europe,Ukraine,,Kiev,4,21,1995,63.3
Europe,Ukraine,,Kiev,4,22,1995,61.8
Europe,Ukraine,,Kiev,4,23,1995,56.5
Europe,Ukraine,,Kiev,4,24,1995,62.3
Europe,Ukraine,,Kiev,4,25,1995,60.0
Europe,Ukraine,,Kiev,4,26,1995,52.1
Europe,Ukraine,,Kiev,4,27,1995,50.9
Europe,Ukraine,,Kiev,4,28,1995,55.4
Europe,Ukraine,,Kiev,4,29,1995,51.5
Europe,Ukraine,,Kiev,4,30,1995,47.2
Europe,Ukraine,,Kiev,5,1,1995,49.1
Europe,Ukraine,,Kiev,5,2,1995,40.2
Europe,Ukraine,,Kiev,5,3,1995,40.3
Europe,Ukraine,,Kiev,5,4,1995,47.8
Europe,Ukraine,,Kiev,5,5,1995,51.6
Europe,Ukraine,,Kiev,5,6,1995,52.6
Europe,Ukraine,,Kiev,5,7,1995,54.1
Europe,Ukraine,,Kiev,5,8,1995,49.4
Europe,Ukraine,,Kiev,5,9,1995,52.7
Europe,Ukraine,,Kiev,5,10,1995,49.6
Europe,Ukraine,,Kiev,5,11,1995,45.8
Europe,Ukraine,,Kiev,5,12,1995,50.6
Europe,Ukraine,,Kiev,5,13,1995,60.0
Europe,Ukraine,,Kiev,5,14,1995,65.6
Europe,Ukraine,,Kiev,5,15,1995,47.9
Europe,Ukraine,,Kiev,5,16,1995,50.5
Europe,Ukraine,,Kiev,5,17,1995,58.2
Europe,Ukraine,,Kiev,5,18,1995,59.4
Europe,Ukraine,,Kiev,5,19,1995,61.9
Europe,Ukraine,,Kiev,5,20,1995,60.8
Europe,Ukraine,,Kiev,5,21,1995,60.6
Europe,Ukraine,,Kiev,5,22,1995,61.4
Europe,Ukraine,,Kiev,5,23,1995,60.3
Europe,Ukraine,,Kiev,5,24,1995,64.1
Europe,Ukraine,,Kiev,5,25,1995,62.7
Europe,Ukraine,,Kiev,5,26,1995,65.7
Europe,Ukraine,,Kiev,5,27,1995,71.6
Europe,Ukraine,,Kiev,5,28,1995,73.3
Europe,Ukraine,,Kiev,5,29,1995,70.1
Europe,Ukraine,,Kiev,5,30,1995,68.8
Europe,Ukraine,,Kiev,5,31,1995,71.5
Europe,Ukraine,,Kiev,6,1,1995,74.2
Europe,Ukraine,,Kiev,6,2,1995,74.3
Europe,Ukraine,,Kiev,6,3,1995,75.7
Europe,Ukraine,,Kiev,6,4,1995,67.3
Europe,Ukraine,,Kiev,6,5,1995,63.6
Europe,Ukraine,,Kiev,6,6,1995,64.9
Europe,Ukraine,,Kiev,6,7,1995,63.6
Europe,Ukraine,,Kiev,6,8,1995,68.0
Europe,Ukraine,,Kiev,6,9,1995,68.8
Europe,Ukraine,,Kiev,6,10,1995,69.1
Europe,Ukraine,,Kiev,6,11,1995,69.4
Europe,Ukraine,,Kiev,6,12,1995,72.1
Europe,Ukraine,,Kiev,6,13,1995,73.2
Europe,Ukraine,,Kiev,6,14,1995,72.9
Europe,Ukraine,,Kiev,6,15,1995,70.9
Europe,Ukraine,,Kiev,6,16,1995,72.3
Europe,Ukraine,,Kiev,6,17,1995,68.0
Europe,Ukraine,,Kiev,6,18,1995,69.1
Europe,Ukraine,,Kiev,6,19,1995,68.9
Europe,Ukraine,,Kiev,6,20,1995,64.2
Europe,Ukraine,,Kiev,6,21,1995,63.0
Europe,Ukraine,,Kiev,6,22,1995,66.0
Europe,Ukraine,,Kiev,6,23,1995,59.9
Europe,Ukraine,,Kiev,6,24,1995,63.3
Europe,Ukraine,,Kiev,6,25,1995,62.2
Europe,Ukraine,,Kiev,6,26,1995,66.8
Europe,Ukraine,,Kiev,6,27,1995,67.4
Europe,Ukraine,,Kiev,6,28,1995,66.5
Europe,Ukraine,,Kiev,6,29,1995,68.3
Europe,Ukraine,,Kiev,6,30,1995,69.7
Europe,Ukraine,,Kiev,7,1,1995,65.9
Europe,Ukraine,,Kiev,7,2,1995,66.0
Europe,Ukraine,,Kiev,7,3,1995,62.8
Europe,Ukraine,,Kiev,7,4,1995,72.7
Europe,Ukraine,,Kiev,7,5,1995,66.5
Europe,Ukraine,,Kiev,7,6,1995,64.6
Europe,Ukraine,,Kiev,7,7,1995,65.1
Europe,Ukraine,,Kiev,7,8,1995,67.9
Europe,Ukraine,,Kiev,7,9,1995,71.4
Europe,Ukraine,,Kiev,7,10,1995,74.9
Europe,Ukraine,,Kiev,7,11,1995,71.7
Europe,Ukraine,,Kiev,7,12,1995,66.7
Europe,Ukraine,,Kiev,7,13,1995,69.1
Europe,Ukraine,,Kiev,7,14,1995,71.9
Europe,Ukraine,,Kiev,7,15,1995,75.6
Europe,Ukraine,,Kiev,7,16,1995,73.2
Europe,Ukraine,,Kiev,7,17,1995,60.7
Europe,Ukraine,,Kiev,7,18,1995,60.4
Europe,Ukraine,,Kiev,7,19,1995,63.9
Europe,Ukraine,,Kiev,7,20,1995,66.1
Europe,Ukraine,,Kiev,7,21,1995,68.3
Europe,Ukraine,,Kiev,7,22,1995,73.4
Europe,Ukraine,,Kiev,7,23,1995,76.9
Europe,Ukraine,,Kiev,7,24,1995,73.3
Europe,Ukraine,,Kiev,7,25,1995,70.4
Europe,Ukraine,,Kiev,7,26,1995,66.6
Europe,Ukraine,,Kiev,7,27,1995,67.4
Europe,Ukraine,,Kiev,7,28,1995,66.0
Europe,Ukraine,,Kiev,7,29,1995,70.0
Europe,Ukraine,,Kiev,7,30,1995,72.3
Europe,Ukraine,,Kiev,7,31,1995,71.5
Europe,Ukraine,,Kiev,8,1,1995,71.2
Europe,Ukraine,,Kiev,8,2,1995,70.6
Europe,Ukraine,,Kiev,8,3,1995,69.9
Europe,Ukraine,,Kiev,8,4,1995,67.5
Europe,Ukraine,,Kiev,8,5,1995,62.1
Europe,Ukraine,,Kiev,8,6,1995,62.3
Europe,Ukraine,,Kiev,8,7,1995,65.3
Europe,Ukraine,,Kiev,8,8,1995,70.8
Europe,Ukraine,,Kiev,8,9,1995,64.1
Europe,Ukraine,,Kiev,8,10,1995,63.3
Europe,Ukraine,,Kiev,8,11,1995,62.6
Europe,Ukraine,,Kiev,8,12,1995,55.0
Europe,Ukraine,,Kiev,8,13,1995,62.4
Europe,Ukraine,,Kiev,8,14,1995,68.7
Europe,Ukraine,,Kiev,8,15,1995,71.2
Europe,Ukraine,,Kiev,8,16,1995,70.5
Europe,Ukraine,,Kiev,8,17,1995,72.9
Europe,Ukraine,,Kiev,8,18,1995,70.5
Europe,Ukraine,,Kiev,8,19,1995,74.5
Europe,Ukraine,,Kiev,8,20,1995,76.2
Europe,Ukraine,,Kiev,8,21,1995,74.2
Europe,Ukraine,,Kiev,8,22,1995,65.1
Europe,Ukraine,,Kiev,8,23,1995,64.5
Europe,Ukraine,,Kiev,8,24,1995,69.3
Europe,Ukraine,,Kiev,8,25,1995,70.8
Europe,Ukraine,,Kiev,8,26,1995,73.1
Europe,Ukraine,,Kiev,8,27,1995,65.5
Europe,Ukraine,,Kiev,8,28,1995,64.4
Europe,Ukraine,,Kiev,8,29,1995,67.0
Europe,Ukraine,,Kiev,8,30,1995,67.1
Europe,Ukraine,,Kiev,8,31,1995,56.6
Europe,Ukraine,,Kiev,9,1,1995,58.9
Europe,Ukraine,,Kiev,9,2,1995,62.2
Europe,Ukraine,,Kiev,9,3,1995,59.5
Europe,Ukraine,,Kiev,9,4,1995,62.7
Europe,Ukraine,,Kiev,9,5,1995,57.4
Europe,Ukraine,,Kiev,9,6,1995,60.7
Europe,Ukraine,,Kiev,9,7,1995,56.6
Europe,Ukraine,,Kiev,9,8,1995,62.4
Europe,Ukraine,,Kiev,9,9,1995,65.9
Europe,Ukraine,,Kiev,9,10,1995,62.9
Europe,Ukraine,,Kiev,9,11,1995,65.7
Europe,Ukraine,,Kiev,9,12,1995,64.1
Europe,Ukraine,,Kiev,9,13,1995,65.5
Europe,Ukraine,,Kiev,9,14,1995,66.9
Europe,Ukraine,,Kiev,9,15,1995,67.5
Europe,Ukraine,,Kiev,9,16,1995,57.9
Europe,Ukraine,,Kiev,9,17,1995,46.2
Europe,Ukraine,,Kiev,9,18,1995,44.9
Europe,Ukraine,,Kiev,9,19,1995,49.7
Europe,Ukraine,,Kiev,9,20,1995,51.9
Europe,Ukraine,,Kiev,9,21,1995,51.8
Europe,Ukraine,,Kiev,9,22,1995,53.6
Europe,Ukraine,,Kiev,9,23,1995,49.4
Europe,Ukraine,,Kiev,9,24,1995,48.9
Europe,Ukraine,,Kiev,9,25,1995,53.1
Europe,Ukraine,,Kiev,9,26,1995,53.0
Europe,Ukraine,,Kiev,9,27,1995,56.6
Europe,Ukraine,,Kiev,9,28,1995,56.7
Europe,Ukraine,,Kiev,9,29,1995,48.4
Europe,Ukraine,,Kiev,9,30,1995,42.5
Europe,Ukraine,,Kiev,10,1,1995,46.9
Europe,Ukraine,,Kiev,10,2,1995,44.9
