Region,Country,State,City,Month,Day,Year,AvgTemperature
Europe,Portugal,,Lisbon,1,1,1995,53.5
Europe,Portugal,,Lisbon,1,2,1995,46.9
Europe,Portugal,,Lisbon,1,3,1995,45.8
Europe,Portugal,,Lisbon,1,4,1995,53.3
Europe,Portugal,,Lisbon,1,5,1995,56.2
Europe,Portugal,,Lisbon,1,6,1995,56.4
Europe,Portugal,,Lisbon,1,7,1995,52.6
Europe,Portugal,,Lisbon,1,8,1995,51.8
Europe,Portugal,,Lisbon,1,9,1995,54.6
Europe,Portugal,,Lisbon,1,10,1995,51.9
Europe,Portugal,,Lisbon,1,11,1995,52.7
Europe,Portugal,,Lisbon,1,12,1995,56.2
Europe,Portugal,,Lisbon,1,13,1995,51.3
Europe,Portugal,,Lisbon,1,14,1995,48.6
Europe,Portugal,,Lisbon,1,15,1995,47.1
Europe,Portugal,,Lisbon,1,16,1995,48.6
Europe,Portugal,,Lisbon,1,17,1995,59.4
Europe,Portugal,,Lisbon,1,18,1995,53.9
Europe,Portugal,,Lisbon,1,19,1995,53.8
Europe,Portugal,,Lisbon,1,20,1995,54.2
Europe,Portugal,,Lisbon,1,21,1995,51.8
Europe,Portugal,,Lisbon,1,22,1995,57.1
Europe,Portugal,,Lisbon,1,23,1995,60.2
Europe,Portugal,,Lisbon,1,24,1995,60.5
Europe,Portugal,,Lisbon,1,25,1995,58.8
Europe,Portugal,,Lisbon,1,26,1995,58.3
Europe,Portugal,,Lisbon,1,27,1995,54.9
Europe,Portugal,,Lisbon,1,28,1995,59.1
Europe,Portugal,,Lisbon,1,29,1995,61.0
Europe,Portugal,,Lisbon,1,30,1995,60.2
Europe,Portugal,,Lisbon,1,31,1995,57.3
Europe,Portugal,,Lisbon,2,1,1995,56.9
Europe,Portugal,,Lisbon,2,2,1995,54.9
Europe,Portugal,,Lisbon,2,3,1995,53.7
Europe,Portugal,,Lisbon,2,4,1995,55.6
Europe,Portugal,,Lisbon,2,5,1995,54.9
Europe,Portugal,,Lisbon,2,6,1995,53.7
Europe,Portugal,,Lisbon,2,7,1995,58.8
Europe,Portugal,,Lisbon,2,8,1995,58.8
Europe,Portugal,,Lisbon,2,9,1995,55.2
Europe,Portugal,,Lisbon,2,10,1995,52.6
Europe,Portugal,,Lisbon,2,11,1995,55.7
Europe,Portugal,,Lisbon,2,12,1995,60.6
Europe,Portugal,,Lisbon,2,13,1995,60.1
Europe,Portugal,,Lisbon,2,14,1995,61.5
Europe,Portugal,,Lisbon,2,15,1995,61.0
Europe,Portugal,,Lisbon,2,16,1995,59.7
Europe,Portugal,,Lisbon,2,17,1995,58.9
Europe,Portugal,,Lisbon,2,18,1995,51.5
Europe,Portugal,,Lisbon,2,19,1995,53.1
Europe,Portugal,,Lisbon,2,20,1995,54.8
Europe,Portugal,,Lisbon,2,21,1995,53.9
Europe,Portugal,,Lisbon,2,22,1995,50.3
Europe,Portugal,,Lisbon,2,23,1995,51.9
Europe,Portugal,,Lisbon,2,24,1995,56.9
Europe,Portugal,,Lisbon,2,25,1995,57.3
Europe,Portugal,,Lisbon,2,26,1995,47.9
