Region,Country,State,City,Month,Day,Year,AvgTemperature
Africa,Zambia,,Lusaka,1,1,1995,73.4
Africa,Zambia,,Lusaka,1,2,1995,70.4
Africa,Zambia,,Lusaka,1,3,1995,72.7
Africa,Zambia,,Lusaka,1,4,1995,76.3
Africa,Zambia,,Lusaka,1,5,1995,76.8
Africa,Zambia,,Lusaka,1,6,1995,74.9
Africa,Zambia,,Lusaka,1,7,1995,76.2
Africa,Zambia,,Lusaka,1,8,1995,78.0
Africa,Zambia,,Lusaka,1,9,1995,77.6
Africa,Zambia,,Lusaka,1,10,1995,77.1
Africa,Zambia,,Lusaka,1,11,1995,72.1
Africa,Zambia,,Lusaka,1,12,1995,76.6
Africa,Zambia,,Lusaka,1,13,1995,71.8
Africa,Zambia,,Lusaka,1,14,1995,71.8
Africa,Zambia,,Lusaka,1,15,1995,72.8
Africa,Zambia,,Lusaka,1,16,1995,72.1
Africa,Zambia,,Lusaka,1,17,1995,71.9
Africa,Zambia,,Lusaka,1,18,1995,74.7
Africa,Zambia,,Lusaka,1,19,1995,71.0
Africa,Zambia,,Lusaka,1,20,1995,74.9
Africa,Zambia,,Lusaka,1,21,1995,74.5
Africa,Zambia,,Lusaka,1,22,1995,70.8
Africa,Zambia,,Lusaka,1,23,1995,76.9
Africa,Zambia,,Lusaka,1,24,1995,76.9
Africa,Zambia,,Lusaka,1,25,1995,75.8
Africa,Zambia,,Lusaka,1,26,1995,69.9
Africa,Zambia,,Lusaka,1,27,1995,77.0
Africa,Zambia,,Lusaka,1,28,1995,70.1
Africa,Zambia,,Lusaka,1,29,1995,72.5
Africa,Zambia,,Lusaka,1,30,1995,76.3
Africa,Zambia,,Lusaka,1,31,1995,79.7
Africa,Zambia,,Lusaka,2,1,1995,76.4
Africa,Zambia,,Lusaka,2,2,1995,79.1
Africa,Zambia,,Lusaka,2,3,1995,73.6
Africa,Zambia,,Lusaka,2,4,1995,76.5
Africa,Zambia,,Lusaka,2,5,1995,76.3
Africa,Zambia,,Lusaka,2,6,1995,75.9
Africa,Zambia,,Lusaka,2,7,1995,72.5
Africa,Zambia,,Lusaka,2,8,1995,70.5
Africa,Zambia,,Lusaka,2,9,1995,71.6
Africa,Zambia,,Lusaka,2,10,1995,72.1
Africa,Zambia,,Lusaka,2,11,1995,70.4
Africa,Zambia,,Lusaka,2,12,1995,71.7
Africa,Zambia,,Lusaka,2,13,1995,71.4
Africa,Zambia,,Lusaka,2,14,1995,74.2
Africa,Zambia,,Lusaka,2,15,1995,77.0
Africa,Zambia,,Lusaka,2,16,1995,73.8
Africa,Zambia,,Lusaka,2,17,1995,74.2
Africa,Zambia,,Lusaka,2,18,1995,69.3
Africa,Zambia,,Lusaka,2,20,1995,74.6
Africa,Zambia,,Lusaka,2,21,1995,72.8
Africa,Zambia,,Lusaka,2,22,1995,71.4
Africa,Zambia,,Lusaka,2,23,1995,69.5
Africa,Zambia,,Lusaka,2,24,1995,73.8
Africa,Zambia,,Lusaka,2,25,1995,70.6
Africa,Zambia,,Lusaka,2,27,1995,74.5
Africa,Zambia,,Lusaka,2,28,1995,73.7
Africa,Zambia,,Lusaka,3,1,1995,71.3
Africa,Zambia,,Lusaka,3,2,1995,74.3
Africa,Zambia,,Lusaka,3,3,1995,69.1
Africa,Zambia,,Lusaka,3,4,1995,72.8
Africa,Zambia,,Lusaka,3,5,1995,72.9
Africa,Zambia,,Lusaka,3,6,1995,71.7
Africa,Zambia,,Lusaka,3,7,1995,72.5
Africa,Zambia,,Lusaka,3,8,1995,75.2
Africa,Zambia,,Lusaka,3,9,1995,75.5
Africa,Zambia,,Lusaka,3,10,1995,73.9
Africa,Zambia,,Lusaka,3,11,1995,74.2
Africa,Zambia,,Lusaka,3,12,1995,77.3
Africa,Zambia,,Lusaka,3,13,1995,75.3
Africa,Zambia,,Lusaka,3,14,1995,75.2
Africa,Zambia,,Lusaka,3,15,1995,74.4
Africa,Zambia,,Lusaka,3,16,1995,71.6
Africa,Zambia,,Lusaka,3,17,1995,73.1
Africa,Zambia,,Lusaka,3,18,1995,77.4
Africa,Zambia,,Lusaka,3,19,1995,80.1
Africa,Zambia,,Lusaka,3,20,1995,79.2
Africa,Zambia,,Lusaka,3,21,1995,80.9
Africa,Zambia,,Lusaka,3,22,1995,76.1
Africa,Zambia,,Lusaka,3,23,1995,74.5
Africa,Zambia,,Lusaka,3,24,1995,72.3
Africa,Zambia,,Lusaka,3,25,1995,73.7
Africa,Zambia,,Lusaka,3,26,1995,73.7
Africa,Zambia,,Lusaka,3,27,1995,74.2
Africa,Zambia,,Lusaka,3,28,1995,76.1
Africa,Zambia,,Lusaka,3,29,1995,73.0
Africa,Zambia,,Lusaka,3,30,1995,74.8
Africa,Zambia,,Lusaka,3,31,1995,77.3
Africa,Zambia,,Lusaka,4,1,1995,78.3
Africa,Zambia,,Lusaka,4,2,1995,69.0
Africa,Zambia,,Lusaka,4,3,1995,73.8
Africa,Zambia,,Lusaka,4,4,1995,72.5
Africa,Zambia,,Lusaka,4,5,1995,72.6
Africa,Zambia,,Lusaka,4,6,1995,71.0
Africa,Zambia,,Lusaka,4,7,1995,68.5
Africa,Zambia,,Lusaka,4,8,1995,68.4
Africa,Zambia,,Lusaka,4,9,1995,68.1
Africa,Zambia,,Lusaka,4,10,1995,75.5
