Region,Country,State,City,Month,Day,Year,AvgTemperature
Europe,Spain,,Madrid,1,1,1995,45.9
Europe,Spain,,Madrid,1,2,1995,40.0
Europe,Spain,,Madrid,1,3,1995,34.1
Europe,Spain,,Madrid,1,4,1995,37.0
Europe,Spain,,Madrid,1,5,1995,43.1
Europe,Spain,,Madrid,1,6,1995,46.7
Europe,Spain,,Madrid,1,7,1995,43.7
Europe,Spain,,Madrid,1,8,1995,40.5
Europe,Spain,,Madrid,1,9,1995,43.0
Europe,Spain,,Madrid,1,10,1995,39.1
Europe,Spain,,Madrid,1,11,1995,39.4
Europe,Spain,,Madrid,1,12,1995,46.2
Europe,Spain,,Madrid,1,13,1995,37.7
Europe,Spain,,Madrid,1,14,1995,36.9
Europe,Spain,,Madrid,1,15,1995,37.9
Europe,Spain,,Madrid,1,16,1995,37.7
Europe,Spain,,Madrid,1,17,1995,39.9
Europe,Spain,,Madrid,1,18,1995,48.4
Europe,Spain,,Madrid,1,19,1995,40.8
Europe,Spain,,Madrid,1,20,1995,45.1
Europe,Spain,,Madrid,1,21,1995,39.9
Europe,Spain,,Madrid,1,22,1995,42.2
Europe,Spain,,Madrid,1,23,1995,47.1
Europe,Spain,,Madrid,1,24,1995,54.9
Europe,Spain,,Madrid,1,25,1995,54.9
Europe,Spain,,Madrid,1,26,1995,51.5
Europe,Spain,,Madrid,1,27,1995,46.3
Europe,Spain,,Madrid,1,28,1995,48.2
Europe,Spain,,Madrid,1,29,1995,45.0
Europe,Spain,,Madrid,1,30,1995,51.8
Europe,Spain,,Madrid,1,31,1995,42.3
Europe,Spain,,Madrid,2,1,1995,42.5
Europe,Spain,,Madrid,2,2,1995,45.1
Europe,Spain,,Madrid,2,3,1995,44.3
Europe,Spain,,Madrid,2,4,1995,42.8
Europe,Spain,,Madrid,2,5,1995,45.1
Europe,Spain,,Madrid,2,6,1995,46.1
Europe,Spain,,Madrid,2,7,1995,41.2
Europe,Spain,,Madrid,2,8,1995,47.0
Europe,Spain,,Madrid,2,9,1995,52.3
Europe,Spain,,Madrid,2,10,1995,46.3
Europe,Spain,,Madrid,2,11,1995,41.8
Europe,Spain,,Madrid,2,12,1995,44.9
Europe,Spain,,Madrid,2,13,1995,51.6
Europe,Spain,,Madrid,2,14,1995,57.6
Europe,Spain,,Madrid,2,15,1995,56.5
Europe,Spain,,Madrid,2,16,1995,52.3
Europe,Spain,,Madrid,2,17,1995,51.0
Europe,Spain,,Madrid,2,18,1995,47.7
Europe,Spain,,Madrid,2,19,1995,44.1
Europe,Spain,,Madrid,2,20,1995,46.7
Europe,Spain,,Madrid,2,21,1995,49.1
Europe,Spain,,Madrid,2,22,1995,44.6
Europe,Spain,,Madrid,2,23,1995,42.6
Europe,Spain,,Madrid,2,24,1995,54.7
Europe,Spain,,Madrid,2,25,1995,54.8
Europe,Spain,,Madrid,2,26,1995,43.4
Europe,Spain,,Madrid,2,27,1995,42.3
Europe,Spain,,Madrid,2,28,1995,42.7
Europe,Spain,,Madrid,3,1,1995,49.4
Europe,Spain,,Madrid,3,2,1995,45.6
Europe,Spain,,Madrid,3,3,1995,46.5
Europe,Spain,,Madrid,3,4,1995,46.8
Europe,Spain,,Madrid,3,5,1995,54.8
Europe,Spain,,Madrid,3,6,1995,51.1
Europe,Spain,,Madrid,3,7,1995,42.6
Europe,Spain,,Madrid,3,8,1995,44.4
Europe,Spain,,Madrid,3,9,1995,44.4
Europe,Spain,,Madrid,3,10,1995,48.4
Europe,Spain,,Madrid,3,11,1995,54.0
Europe,Spain,,Madrid,3,12,1995,57.2
Europe,Spain,,Madrid,3,13,1995,53.1
Europe,Spain,,Madrid,3,14,1995,50.6
Europe,Spain,,Madrid,3,15,1995,50.1
Europe,Spain,,Madrid,3,16,1995,49.7
Europe,Spain,,Madrid,3,17,1995,49.0
Europe,Spain,,Madrid,3,18,1995,51.3
Europe,Spain,,Madrid,3,19,1995,53.1
Europe,Spain,,Madrid,3,20,1995,54.2
Europe,Spain,,Madrid,3,21,1995,53.7
Europe,Spain,,Madrid,3,22,1995,51.8
Europe,Spain,,Madrid,3,23,1995,49.2
Europe,Spain,,Madrid,3,24,1995,53.0
Europe,Spain,,Madrid,3,25,1995,57.9
Europe,Spain,,Madrid,3,26,1995,59.6
Europe,Spain,,Madrid,3,27,1995,57.2
Europe,Spain,,Madrid,3,28,1995,57.9
Europe,Spain,,Madrid,3,29,1995,57.8
Europe,Spain,,Madrid,3,30,1995,54.0
Europe,Spain,,Madrid,3,31,1995,50.3
Europe,Spain,,Madrid,4,1,1995,54.3
Europe,Spain,,Madrid,4,2,1995,57.6
Europe,Spain,,Madrid,4,3,1995,57.7
Europe,Spain,,Madrid,4,4,1995,58.1
Europe,Spain,,Madrid,4,5,1995,60.1
Europe,Spain,,Madrid,4,6,1995,64.1
Europe,Spain,,Madrid,4,7,1995,63.6
