Region,Country,State,City,Month,Day,Year,AvgTemperature
Australia/South Pacific,Australia,,Sydney,1,1,1995,59.1
Australia/South Pacific,Australia,,Sydney,1,2,1995,64.6
Australia/South Pacific,Australia,,Sydney,1,3,1995,79.1
Australia/South Pacific,Australia,,Sydney,1,4,1995,77.3
Australia/South Pacific,Australia,,Sydney,1,5,1995,70.2
Australia/South Pacific,Australia,,Sydney,1,6,1995,56.3
Australia/South Pacific,Australia,,Sydney,1,7,1995,54.3
Australia/South Pacific,Australia,,Sydney,1,8,1995,61.2
Australia/South Pacific,Australia,,Sydney,1,9,1995,77.5
Australia/South Pacific,Australia,,Sydney,1,10,1995,75.7
Australia/South Pacific,Australia,,Sydney,1,11,1995,76.3
Australia/South Pacific,Australia,,Sydney,1,12,1995,67.3
Australia/South Pacific,Australia,,Sydney,1,13,1995,77.3
Australia/South Pacific,Australia,,Sydney,1,14,1995,71.0
Australia/South Pacific,Australia,,Sydney,1,15,1995,69.3
Australia/South Pacific,Australia,,Sydney,1,16,1995,64.9
Australia/South Pacific,Australia,,Sydney,1,17,1995,66.6
Australia/South Pacific,Australia,,Sydney,1,18,1995,70.8
Australia/South Pacific,Australia,,Sydney,1,19,1995,80.3
Australia/South Pacific,Australia,,Sydney,1,20,1995,60.5
Australia/South Pacific,Australia,,Sydney,1,21,1995,57.4
Australia/South Pacific,Australia,,Sydney,1,22,1995,63.9
Australia/South Pacific,Australia,,Sydney,1,23,1995,72.9
Australia/South Pacific,Australia,,Sydney,1,24,1995,69.0
Australia/South Pacific,Australia,,Sydney,1,25,1995,64.8
Australia/South Pacific,Australia,,Sydney,1,26,1995,67.6
Australia/South Pacific,Australia,,Sydney,1,27,1995,69.9
Australia/South Pacific,Australia,,Sydney,1,28,1995,69.8
Australia/South Pacific,Australia,,Sydney,1,29,1995,68.3
Australia/South Pacific,Australia,,Sydney,1,30,1995,64.4
Australia/South Pacific,Australia,,Sydney,1,31,1995,60.0
Australia/South Pacific,Australia,,Sydney,2,1,1995,69.4
Australia/South Pacific,Australia,,Sydney,2,2,1995,70.0
Australia/South Pacific,Australia,,Sydney,2,3,1995,59.3
Australia/South Pacific,Australia,,Sydney,2,4,1995,74.8
Australia/South Pacific,Australia,,Sydney,2,5,1995,58.6
Australia/South Pacific,Australia,,Sydney,2,6,1995,58.3
Australia/South Pacific,Australia,,Sydney,2,7,1995,65.0
Australia/South Pacific,Australia,,Sydney,2,8,1995,61.2
Australia/South Pacific,Australia,,Sydney,2,9,1995,59.9
Australia/South Pacific,Australia,,Sydney,2,10,1995,60.6
Australia/South Pacific,Australia,,Sydney,2,11,1995,72.3
Australia/South Pacific,Australia,,Sydney,2,12,1995,76.2
Australia/South Pacific,Australia,,Sydney,2,13,1995,79.8
Australia/South Pacific,Australia,,Sydney,2,14,1995,81.6
Australia/South Pacific,Australia,,Sydney,2,15,1995,80.2
Australia/South Pacific,Australia,,Sydney,2,16,1995,60.3
Australia/South Pacific,Australia,,Sydney,2,17,1995,62.1
