Region,Country,State,City,Month,Day,Year,AvgTemperature
Europe,Poland,,Warsaw,1,1,1995,35.4
Europe,Poland,,Warsaw,1,2,1995,30.5
Europe,Poland,,Warsaw,1,3,1995,27.2
Europe,Poland,,Warsaw,1,4,1995,22.9
Europe,Poland,,Warsaw,1,5,1995,18.7
Europe,Poland,,Warsaw,1,6,1995,19.7
Europe,Poland,,Warsaw,1,7,1995,21.6
Europe,Poland,,Warsaw,1,8,1995,26.6
Europe,Poland,,Warsaw,1,9,1995,27.4
Europe,Poland,,Warsaw,1,10,1995,31.0
Europe,Poland,,Warsaw,1,11,1995,30.9
Europe,Poland,,Warsaw,1,12,1995,30.8
Europe,Poland,,Warsaw,1,13,1995,28.5
Europe,Poland,,Warsaw,1,14,1995,20.4
Europe,Poland,,Warsaw,1,15,1995,27.6
Europe,Poland,,Warsaw,1,16,1995,30.7
Europe,Poland,,Warsaw,1,17,1995,23.7
Europe,Poland,,Warsaw,1,18,1995,20.0
Europe,Poland,,Warsaw,1,19,1995,16.8
Europe,Poland,,Warsaw,1,20,1995,16.0
Europe,Poland,,Warsaw,1,21,1995,20.3
Europe,Poland,,Warsaw,1,22,1995,29.5
Europe,Poland,,Warsaw,1,23,1995,38.8
Europe,Poland,,Warsaw,1,24,1995,38.8
Europe,Poland,,Warsaw,1,25,1995,37.0
Europe,Poland,,Warsaw,1,26,1995,39.9
Europe,Poland,,Warsaw,1,27,1995,37.8
Europe,Poland,,Warsaw,1,28,1995,34.4
Europe,Poland,,Warsaw,1,29,1995,42.4
Europe,Poland,,Warsaw,1,30,1995,40.6
Europe,Poland,,Warsaw,1,31,1995,29.5
Europe,Poland,,Warsaw,2,1,1995,33.2
Europe,Poland,,Warsaw,2,2,1995,40.6
Europe,Poland,,Warsaw,2,3,1995,31.2
Europe,Poland,,Warsaw,2,4,1995,35.1
Europe,Poland,,Warsaw,2,5,1995,36.9
Europe,Poland,,Warsaw,2,6,1995,39.1
Europe,Poland,,Warsaw,2,7,1995,44.8
Europe,Poland,,Warsaw,2,8,1995,33.8
Europe,Poland,,Warsaw,2,9,1995,29.6
Europe,Poland,,Warsaw,2,10,1995,28.2
Europe,Poland,,Warsaw,2,11,1995,32.6
Europe,Poland,,Warsaw,2,12,1995,40.6
